Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
C,Has_Item_2_02,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_2_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_5_02,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_5_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_5_07,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_7_01,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_8_01,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Sentiment_History,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Price_to_SMA20,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,QQQ_Log_Return_5D,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Stock_vs_QQQ_3D,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,QQQ_Log_Return_3D,0.0,0.0,-0.0003804788961038924,0.0007609577922077847,0,0,4,1.0,0.0,0.0
C,Intraday_Return,-0.00111918604651163,0.00223837209302326,-0.0014339571220930102,0.0028679142441860204,0,0,4,1.0,0.0,0.0
C,Sentiment_Momentum_3,-0.002075763081395352,0.004151526162790704,-0.0033148619186046334,0.006629723837209266,0,0,4,1.0,0.0,0.0
C,QQQ_Volatility_14D,-0.0006076513421171997,0.0016224088740301396,-0.013468937584944114,0.029480270838816987,1,2,4,1.0,0.5,0.25
C,Stock_vs_QQQ_5D,-0.02666419294990723,0.05332838589981446,-0.018595547309833024,0.03719109461966605,0,0,4,1.0,0.0,0.0
C,RSI_14,-0.025979554870309646,0.036092441261542894,-0.019636961400685174,0.03143398552697013,1,1,4,1.0,0.25,0.25
C,Mean_Net_Sentiment,-0.022293805400948236,0.043548193611037886,-0.021115748992955166,0.04462432995792658,0,1,4,1.0,0.25,0.0
