XAI_Example_Type,Ticker,Accession,Event_Session,Test_Year,Target_Tradable_Abnormal_1D,XAI_Prediction,XAI_Probability
true_positive,MSFT,0001193125-23-181341,2023-07-05,2023,1,1,0.8297079620806198
true_negative,INTC,0000050863-25-000155,2025-09-19,2025,0,0,0.007213917498200406
false_positive,QCOM,0001104659-26-077071,2026-06-24,2026,0,1,0.8605041565923973
false_negative,INTC,0000050863-26-000083,2026-04-27,2026,1,0,0.035851444777874567
