Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
sentiment__Sentiment_Momentum_3,-0.260113715757902,0.4630502462387085,0.4630502462387085,toward_class_1,1
market__QQQ_Log_Return_1D,-0.0096806945149977,0.4003655016422272,0.4003655016422272,toward_class_1,2
market__RSI_14,55.62724071757886,0.32731834053993225,0.32731834053993225,toward_class_1,3
market__Price_to_SMA20_Z60,-0.7500488324696092,0.319904088973999,0.319904088973999,toward_class_1,4
market__Log_Return_1D_Z60,-0.4787135610654471,0.2167937308549881,0.2167937308549881,toward_class_1,5
market__Relative_Volume_20D_Z60,-0.0660760222967611,0.20664264261722565,0.20664264261722565,toward_class_1,6
market__Log_Return_5D_Z60,-0.2834723497951817,0.19093471765518188,0.19093471765518188,toward_class_1,7
market__QQQ_Volatility_14D,0.0133692912043914,-0.18595895171165466,0.18595895171165466,toward_class_0,8
market__QQQ_Log_Return_5D,0.0054153531263659,0.17836862802505493,0.17836862802505493,toward_class_1,9
market__Daily_Range_Z60,0.0032847635259359,-0.10110485553741455,0.10110485553741455,toward_class_0,10
market__Intraday_Return_Z60,-0.4076011530537933,-0.07849682867527008,0.07849682867527008,toward_class_0,11
binary__Has_Item_5_02,0.0,0.06442023068666458,0.06442023068666458,toward_class_1,12
market__Volatility_14D_Z60,0.4426249597516393,-0.04654565081000328,0.04654565081000328,toward_class_0,13
sentiment__Mean_Net_Sentiment,0.2350195092119507,0.03401950001716614,0.03401950001716614,toward_class_1,14
ticker__Ticker_INTC,0.0,0.02883680909872055,0.02883680909872055,toward_class_1,15
ticker__Ticker_AVGO,0.0,-0.011137988418340683,0.011137988418340683,toward_class_0,16
ticker__Ticker_AMZN,0.0,0.0,0.0,neutral,17
ticker__Ticker_AAPL,0.0,0.0,0.0,neutral,18
ticker__Ticker_ADBE,0.0,0.0,0.0,neutral,19
ticker__Ticker_META,0.0,0.0,0.0,neutral,20
ticker__Ticker_GOOGL,0.0,0.0,0.0,neutral,21
ticker__Ticker_AMD,0.0,0.0,0.0,neutral,22
ticker__Ticker_MSFT,0.0,0.0,0.0,neutral,23
ticker__Ticker_TSLA,1.0,0.0,0.0,neutral,24
ticker__Ticker_NFLX,0.0,0.0,0.0,neutral,25
ticker__Ticker_NVDA,0.0,0.0,0.0,neutral,26
ticker__Ticker_QCOM,0.0,0.0,0.0,neutral,27
binary__Has_Item_2_02,1.0,0.0,0.0,neutral,28
binary__Has_Item_1_01,0.0,0.0,0.0,neutral,29
binary__Has_EX99,1.0,0.0,0.0,neutral,30
binary__Has_Item_5_03,0.0,0.0,0.0,neutral,31
binary__Has_Item_7_01,0.0,0.0,0.0,neutral,32
binary__Has_Item_5_07,0.0,0.0,0.0,neutral,33
binary__Has_Sentiment_History,1.0,0.0,0.0,neutral,34
binary__Has_Item_8_01,0.0,0.0,0.0,neutral,35
