Feature,Model_Input_Value,Coefficient_Log_Odds,Log_Odds_Contribution,Abs_Log_Odds_Contribution,Direction,Rank
numeric__Stock_vs_QQQ_1D,-8.95189202917661,-0.5036483434392336,4.508605591141679,4.508605591141679,toward_class_1,1
numeric__Relative_Volume_20D,2.2279048659442493,-0.2777773304941215,-0.6188614662568572,0.6188614662568572,toward_class_0,2
numeric__Stock_vs_QQQ_3D,-2.924116731862737,0.17649474390117997,-0.5160912337272691,0.5160912337272691,toward_class_0,3
numeric__Intraday_Return,-1.725306994722594,0.27880586731909296,-0.4810257130553306,0.4810257130553306,toward_class_0,4
binary__Has_Sentiment_History,1.0,-0.4120017152692148,-0.4120017152692148,0.4120017152692148,toward_class_0,5
categorical__Ticker_INTC,1.0,-0.38640071992054553,-0.38640071992054553,0.38640071992054553,toward_class_0,6
binary__Has_Item_8_01,1.0,-0.36948144800716937,-0.36948144800716937,0.36948144800716937,toward_class_0,7
numeric__Daily_Range,2.484891992762064,0.13355053536292713,0.3318586559524245,0.3318586559524245,toward_class_1,8
numeric__Stock_vs_QQQ_5D,-1.7103131467505879,-0.13591681071667883,0.23246030823314698,0.23246030823314698,toward_class_1,9
sentiment__Mean_Net_Sentiment,-0.5620731604587702,0.20216655057904265,-0.11363239202301031,0.11363239202301031,toward_class_0,10
numeric__Volatility_14D,3.2787279500141966,-0.02034085120144854,-0.06669211736126918,0.06669211736126918,toward_class_0,11
numeric__Price_to_SMA20,0.3291414638178672,-0.1690736139739174,-0.05564913679635218,0.05564913679635218,toward_class_0,12
sentiment__Sentiment_Momentum_3,-0.255812031756875,-0.2134491623926127,0.05460286390845741,0.05460286390845741,toward_class_1,13
numeric__QQQ_Log_Return_3D,0.8674624685410026,-0.03776071088401982,-0.03275599947731494,0.03275599947731494,toward_class_0,14
numeric__QQQ_Volatility_14D,-0.6246129534577832,-0.034791704330447294,0.02173134919767063,0.02173134919767063,toward_class_1,15
numeric__QQQ_Log_Return_1D,0.11553228160670662,-0.17207877060969376,-0.01988065298461501,0.01988065298461501,toward_class_0,16
numeric__RSI_14,-0.1383356871382009,0.1277424241019934,-0.017671336014848736,0.017671336014848736,toward_class_0,17
numeric__QQQ_Log_Return_5D,-0.05299459424925366,0.12270582621409376,-0.006502745472235332,0.006502745472235332,toward_class_0,18
categorical__Ticker_ADBE,0.0,0.23411402714614563,0.0,0.0,neutral,19
categorical__Ticker_AMZN,0.0,0.12207899084877273,0.0,0.0,neutral,20
categorical__Ticker_AMD,0.0,-0.1017780438891222,-0.0,0.0,neutral,21
categorical__Ticker_MSFT,0.0,0.3464338453162201,0.0,0.0,neutral,22
categorical__Ticker_META,0.0,0.26167838557462036,0.0,0.0,neutral,23
categorical__Ticker_GOOGL,0.0,0.4169177714482893,0.0,0.0,neutral,24
categorical__Ticker_AVGO,0.0,0.4264430197328596,0.0,0.0,neutral,25
categorical__Ticker_NFLX,0.0,0.04211568850519018,0.0,0.0,neutral,26
categorical__Ticker_NVDA,0.0,-0.008089733733993345,-0.0,0.0,neutral,27
categorical__Ticker_QCOM,0.0,-0.19667956295950287,-0.0,0.0,neutral,28
categorical__Ticker_TSLA,0.0,0.07367764466948112,0.0,0.0,neutral,29
binary__Has_Item_2_02,0.0,0.015296907904755573,0.0,0.0,neutral,30
binary__Has_Item_2_01,0.0,0.05855424143001435,0.0,0.0,neutral,31
binary__Has_Item_1_01,0.0,0.31408857082587643,0.0,0.0,neutral,32
binary__Has_EX99,0.0,-0.055738135761068376,-0.0,0.0,neutral,33
binary__Has_Item_7_01,0.0,-0.28624098516447943,-0.0,0.0,neutral,34
binary__Has_Item_5_07,0.0,-0.6071595274931543,-0.0,0.0,neutral,35
binary__Has_Item_5_03,0.0,0.1602583308822692,0.0,0.0,neutral,36
binary__Has_Item_5_02,0.0,-0.5781600811140569,-0.0,0.0,neutral,37
