Feature,Model_Input_Value,IG_Value,Abs_IG_Value
Has_EX99,1.0,-0.111890845,0.111890845
Mean_Net_Sentiment,1.4857379,-0.10651635,0.10651635
Has_Event_Guidance,1.0,-0.04949416,0.04949416
Has_Event_Earnings,1.0,-0.042508196,0.042508196
Sentiment_Momentum_3,1.3840234,-0.039949223,0.039949223
Has_Item_2_02,1.0,-0.033164155,0.033164155
Ticker_META,1.0,-0.020258343,0.020258343
Has_Sentiment_History,1.0,0.01079797,0.01079797
Ticker_GOOGL,0.0,-0.0,0.0
Ticker_AVGO,0.0,-0.0,0.0
Ticker_AMD,0.0,0.0,0.0
Ticker_AMZN,0.0,-0.0,0.0
Ticker_AAPL,0.0,0.0,0.0
Ticker_ADBE,0.0,0.0,0.0
Ticker_TSLA,0.0,-0.0,0.0
Ticker_QCOM,0.0,0.0,0.0
Ticker_NVDA,0.0,0.0,0.0
Ticker_NFLX,0.0,0.0,0.0
Ticker_INTC,0.0,-0.0,0.0
Ticker_MSFT,0.0,0.0,0.0
Has_Item_1_01,0.0,0.0,0.0
Has_Event_Buyback,0.0,-0.0,0.0
Has_Item_2_03,0.0,0.0,0.0
Has_Item_2_01,0.0,0.0,0.0
Has_Item_1_02,0.0,0.0,0.0
Has_Item_5_02,0.0,0.0,0.0
Has_Item_7_01,0.0,0.0,0.0
Has_Item_5_07,0.0,-0.0,0.0
Has_Item_5_03,0.0,0.0,0.0
Has_Item_8_01,0.0,0.0,0.0
