XAI_Example_Type,Ticker,Accession,Event_Session,Test_Year,Target_Tradable_Abnormal_1D,XAI_Prediction,XAI_Probability
true_positive,INTC,0000050863-25-000063,2025-04-21,2025,1,1,0.65186703
true_negative,INTC,0000050863-25-000155,2025-09-19,2025,0,0,0.00011898205
false_positive,NFLX,0001065280-26-000139,2026-04-23,2026,0,1,0.79094136
false_negative,QCOM,0000804328-26-000060,2026-04-30,2026,1,0,0.21347812
