Variant,Sequence_Step,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,21,Log_Return_1D_Z60,0.0009617185178285581,0.0010090449545056622,-4.038939198380831e-05,4,1.0
A,19,QQQ_Log_Return_5D,0.0009463428540357199,0.0013097014602629145,8.323063124748842e-05,4,1.0
A,20,Price_to_SMA20_Z60,0.0009311326439274126,0.0016655415846279576,-9.615915035965372e-05,4,1.0
A,20,Volatility_14D_Z60,0.0009069740533504955,0.0008857215100235505,-9.318834713667457e-05,4,1.0
A,22,QQQ_Volatility_14D,0.0008892471146282332,0.0009729424832038411,-0.0004459728711481148,4,1.0
A,26,Relative_Volume_20D_Z60,0.00083025199273834,0.0005435182230893395,0.000313305541567388,4,1.0
A,23,Relative_Volume_20D_Z60,0.0007878412698119064,0.0008574665436810894,7.153350395583402e-05,4,1.0
A,18,RSI_14_Scaled,0.0007736037011909502,0.000899248744661301,0.00013663845051326007,4,1.0
A,24,Relative_Volume_20D_Z60,0.0007578684853797313,0.0007887104857412069,-2.7448252296835562e-05,4,1.0
A,26,QQQ_Log_Return_1D,0.0007513631644542329,0.0002553532231028399,0.00025854106388578657,4,1.0
A,24,Daily_Range_Z60,0.0007511166113545187,0.000568937858654839,0.0003771899232560827,4,1.0
A,19,Price_to_SMA20_Z60,0.0007119485740076925,0.0012821802021050375,-7.217814501814246e-05,4,1.0
A,21,Log_Return_5D_Z60,0.0007043466375762364,0.0007302512181879632,-0.0002082832297674031,4,1.0
A,23,Intraday_Return_Z60,0.00070059630797914,0.0009522296968533623,0.00011275596943960409,4,1.0
A,25,Relative_Volume_20D_Z60,0.0006853736795164878,0.0006612368751181073,6.663322619715473e-05,4,1.0
A,24,QQQ_Log_Return_1D,0.0006804575205023866,0.0007627158037102832,0.00019524262506820378,4,1.0
A,19,Volatility_14D_Z60,0.0006692728677535342,0.0006607489753888216,-5.5680990556084e-05,4,1.0
A,22,Relative_Volume_20D_Z60,0.0006444172354349575,0.0006430308092550081,-1.1449737058910614e-05,4,1.0
A,25,QQQ_Log_Return_1D,0.0006356614248943515,0.00037957354336110586,5.396807137003634e-05,4,1.0
A,21,QQQ_Volatility_14D,0.0006338472412608098,0.0007004140215896984,-0.0003258655801801069,4,1.0
A,20,Log_Return_1D_Z60,0.0006009637727402151,0.000638019371195201,7.587812262954685e-07,4,1.0
