Variant,Test_Year,Sequence_Step,Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
A,2023,1,Log_Return_1D_Z60,7.707760687480913e-07,-4.1560817010122264e-08,0.4661016949152542,0.5338983050847458
A,2023,1,Log_Return_5D_Z60,1.2448607549231383e-06,2.4809645537970937e-07,0.5169491525423728,0.4830508474576271
A,2023,1,Volatility_14D_Z60,2.2347360300045693e-06,-1.411584207744454e-06,0.288135593220339,0.711864406779661
A,2023,1,Relative_Volume_20D_Z60,7.430915047734743e-07,-9.87678419051008e-08,0.423728813559322,0.576271186440678
A,2023,1,RSI_14_Scaled,7.698720878579479e-07,-1.2277430982976512e-07,0.4406779661016949,0.559322033898305
A,2023,1,Price_to_SMA20_Z60,1.6932610833464423e-06,-1.235070783422998e-07,0.5423728813559322,0.4576271186440678
A,2023,1,Intraday_Return_Z60,4.931792432216753e-07,-6.403120256237571e-09,0.559322033898305,0.4406779661016949
A,2023,1,Daily_Range_Z60,1.7551000155435759e-06,-4.781704205925053e-07,0.3305084745762712,0.6694915254237288
A,2023,1,QQQ_Log_Return_1D,2.0872570871688367e-07,-9.735324368875808e-08,0.3728813559322034,0.6271186440677966
A,2023,1,QQQ_Log_Return_5D,6.505800342893053e-07,1.274563317110733e-07,0.5677966101694916,0.4322033898305085
A,2023,1,QQQ_Volatility_14D,2.566222576660948e-07,-9.72002354160395e-08,0.3813559322033898,0.6186440677966102
A,2023,2,Log_Return_1D_Z60,1.0263835292789736e-06,-2.2634809226929065e-07,0.5169491525423728,0.4830508474576271
A,2023,2,Log_Return_5D_Z60,1.933558223754517e-06,8.861963607387224e-08,0.5254237288135594,0.4745762711864407
A,2023,2,Volatility_14D_Z60,3.065119699385832e-06,-1.8456297539160005e-06,0.288135593220339,0.711864406779661
A,2023,2,Relative_Volume_20D_Z60,1.1894049976035603e-06,-9.491407126915874e-08,0.4322033898305085,0.5677966101694916
A,2023,2,RSI_14_Scaled,1.1565502973098774e-06,-2.401091876436112e-07,0.4406779661016949,0.559322033898305
A,2023,2,Price_to_SMA20_Z60,2.271083303639898e-06,-1.116382861710008e-07,0.4830508474576271,0.5169491525423728
A,2023,2,Intraday_Return_Z60,6.440223501158471e-07,-2.8714229216575404e-08,0.4915254237288136,0.5084745762711864
A,2023,2,Daily_Range_Z60,2.5693902898638044e-06,-6.070719678064052e-07,0.3220338983050847,0.6779661016949152
