Test_Year,Model,Feature,Importance
2023,XGB C - MARKET + SEC + FINBERT,market__Intraday_Return,0.047213987
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_8_01,0.046488002
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.04583396
2023,XGB C - MARKET + SEC + FINBERT,market__Volatility_14D,0.045038365
2023,XGB C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_5D,0.044930954
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_EX99,0.03979184
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_INTC,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_GOOGL,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_AAPL,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_ADBE,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_AMD,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_AMZN,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_AVGO,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_TSLA,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_QCOM,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_NVDA,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_NFLX,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_MSFT,0.0
2023,XGB C - MARKET + SEC + FINBERT,ticker__Ticker_META,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.0
2023,XGB C - MARKET + SEC + FINBERT,binary__Has_Sentiment_History,0.0
2024,XGB A - MARKET,market__QQQ_Log_Return_1D,0.09185771
2024,XGB A - MARKET,market__RSI_14,0.09010336
2024,XGB A - MARKET,market__Stock_vs_QQQ_5D,0.084756345
2024,XGB A - MARKET,market__QQQ_Log_Return_5D,0.076944575
2024,XGB A - MARKET,market__Daily_Range,0.07324884
2024,XGB A - MARKET,market__Relative_Volume_20D,0.07122301
2024,XGB A - MARKET,market__QQQ_Log_Return_3D,0.07004499
2024,XGB A - MARKET,market__Stock_vs_QQQ_1D,0.06891316
2024,XGB A - MARKET,market__Price_to_SMA20,0.068001404
2024,XGB A - MARKET,market__QQQ_Volatility_14D,0.067604855
2024,XGB A - MARKET,market__Volatility_14D,0.06638307
2024,XGB A - MARKET,market__Intraday_Return,0.06051427
2024,XGB A - MARKET,market__Stock_vs_QQQ_3D,0.059519723
2024,XGB A - MARKET,ticker__Ticker_INTC,0.05088467
2024,XGB A - MARKET,ticker__Ticker_ADBE,0.0
2024,XGB A - MARKET,ticker__Ticker_AMD,0.0
2024,XGB A - MARKET,ticker__Ticker_AMZN,0.0
2024,XGB A - MARKET,ticker__Ticker_AAPL,0.0
2024,XGB A - MARKET,ticker__Ticker_AVGO,0.0
2024,XGB A - MARKET,ticker__Ticker_GOOGL,0.0
2024,XGB A - MARKET,ticker__Ticker_META,0.0
2024,XGB A - MARKET,ticker__Ticker_MSFT,0.0
2024,XGB A - MARKET,ticker__Ticker_NFLX,0.0
2024,XGB A - MARKET,ticker__Ticker_NVDA,0.0
2024,XGB A - MARKET,ticker__Ticker_QCOM,0.0
2024,XGB A - MARKET,ticker__Ticker_TSLA,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_5_02,0.083991826
2024,XGB B - MARKET + SEC,binary__Has_Item_7_01,0.067090385
2024,XGB B - MARKET + SEC,market__QQQ_Log_Return_1D,0.066263884
2024,XGB B - MARKET + SEC,market__Price_to_SMA20,0.061310306
2024,XGB B - MARKET + SEC,market__Stock_vs_QQQ_5D,0.058791775
2024,XGB B - MARKET + SEC,binary__Has_EX99,0.058679324
2024,XGB B - MARKET + SEC,market__QQQ_Volatility_14D,0.05612164
2024,XGB B - MARKET + SEC,market__RSI_14,0.05470372
2024,XGB B - MARKET + SEC,market__Stock_vs_QQQ_1D,0.053360738
2024,XGB B - MARKET + SEC,market__QQQ_Log_Return_3D,0.052680835
2024,XGB B - MARKET + SEC,market__Relative_Volume_20D,0.050562374
2024,XGB B - MARKET + SEC,market__Daily_Range,0.049816523
2024,XGB B - MARKET + SEC,binary__Has_Item_8_01,0.049307425
2024,XGB B - MARKET + SEC,market__QQQ_Log_Return_5D,0.045438677
2024,XGB B - MARKET + SEC,market__Intraday_Return,0.044700775
2024,XGB B - MARKET + SEC,market__Volatility_14D,0.04144943
2024,XGB B - MARKET + SEC,market__Stock_vs_QQQ_3D,0.039427053
2024,XGB B - MARKET + SEC,ticker__Ticker_INTC,0.03881686
2024,XGB B - MARKET + SEC,binary__Has_Event_Earnings,0.027486468
2024,XGB B - MARKET + SEC,ticker__Ticker_AVGO,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_AMD,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_AMZN,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_ADBE,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_AAPL,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_NVDA,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_NFLX,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_MSFT,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_META,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_GOOGL,0.0
2024,XGB B - MARKET + SEC,binary__Has_Event_Guidance,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_TSLA,0.0
2024,XGB B - MARKET + SEC,ticker__Ticker_QCOM,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_1_02,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_1_01,0.0
2024,XGB B - MARKET + SEC,binary__Has_Event_Buyback,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_2_01,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_2_03,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_2_02,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_5_07,0.0
2024,XGB B - MARKET + SEC,binary__Has_Item_5_03,0.0
2024,XGB C - MARKET + SEC + FINBERT,binary__Has_EX99,0.06195356
2024,XGB C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.060687315
2024,XGB C - MARKET + SEC + FINBERT,market__QQQ_Volatility_14D,0.05762374
