Event_Session,Strategy_Return_Gross,Strategy_Return_Net,Num_Positions,Equity,Running_Max,Drawdown,Family,Model,Cost_Bps_Per_Side,Probability_Margin
2023-01-03,0.03600536976378893,0.03500536976378893,1,1.0350053697637889,1.0350053697637889,0.0,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-04,0.006457887002969953,0.005457887002969953,1,1.0406543121194267,1.0406543121194267,0.0,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-05,0.0,0.0,0,1.0406543121194267,1.0406543121194267,0.0,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-06,0.0,0.0,0,1.0406543121194267,1.0406543121194267,0.0,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-09,3.633053212398485e-05,-0.0009636694678760152,1,1.0396514653322237,1.0406543121194267,-0.0009636694678759605,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-10,-0.020276277299105194,-0.021276277299105195,1,1.0175315524613944,1.0406543121194267,-0.02221944346815785,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-11,0.0,0.0,0,1.0175315524613944,1.0406543121194267,-0.02221944346815785,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-12,-0.003537173582785713,-0.004537173582785713,1,1.0129148351819155,1.0406543121194267,-0.026655803579015758,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-13,0.0,0.0,0,1.0129148351819155,1.0406543121194267,-0.026655803579015758,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-17,0.0,0.0,0,1.0129148351819155,1.0406543121194267,-0.026655803579015758,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-18,0.0,0.0,0,1.0129148351819155,1.0406543121194267,-0.026655803579015758,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-19,0.0,0.0,0,1.0129148351819155,1.0406543121194267,-0.026655803579015758,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-20,-0.003668563840808603,-0.004668563840808603,3,1.0081859776085667,1.0406543121194267,-0.03119992309908759,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-23,0.0,0.0,0,1.0081859776085667,1.0406543121194267,-0.03119992309908759,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-24,0.0,0.0,0,1.0081859776085667,1.0406543121194267,-0.03119992309908759,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-25,0.0013573320556344859,0.00035733205563448587,2,1.0085462347764074,1.0406543121194267,-0.030853739776109834,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-26,0.0027021661555093335,0.0017021661555093335,1,1.0102629480435104,1.0406543121194267,-0.029204091812218058,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-27,-0.005100746109947096,-0.006100746109947097,2,1.0040995902932102,1.0406543121194267,-0.03512667117264723,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-30,0.0,0.0,0,1.0040995902932102,1.0406543121194267,-0.03512667117264723,CatBoost,CAT A - MARKET,5.0,0.0
2023-01-31,0.0,0.0,0,1.0040995902932102,1.0406543121194267,-0.03512667117264723,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-01,-0.028258348611972295,-0.029258348611972296,1,0.9747212944392729,1.0406543121194267,-0.06335727139387215,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-02,-0.0079498354547608,-0.008949835454760802,1,0.96599769923979,1.0406543121194267,-0.07174006969479518,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-03,0.002775316766799471,0.0017753167667994701,4,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-06,0.0,0.0,0,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-07,0.0,0.0,0,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-08,0.0,0.0,0,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-09,0.0,0.0,0,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-10,0.0,0.0,0,0.9677126511519402,1.0406543121194267,-0.07009211427657613,CatBoost,CAT A - MARKET,5.0,0.0
2023-02-13,-0.006603886810377713,-0.007603886810377713,1,0.9603542736876103,1.0406543121194267,-0.07716302858369462,CatBoost,CAT A - MARKET,5.0,0.0
