Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,0.000423737439486113,5.519929697767132e-05,0.5021645021645021,0.008124254116733088,0.007343740252345618,1.1159027311848615,8.234655608870536e-05,0.02075133213435375,0.07764700999922539,0.26725217280820945,0.4111503334540841,0.48920896277214015,0.6248121750304682,0.3124060875152341,-0.08914798834811855,0.06596564177299213,0.01784697782388589,1.0,1.0
CatBoost,CAT A - MARKET,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,-0.0005986891748956307,-0.0002952171924790461,0.494949494949495,0.007964913174790323,0.008991019477587866,0.8681568236785343,-0.00011185527932822916,-0.02818753039071375,0.09703433771755665,-0.290490264103835,-0.3959684216342336,-0.5938220460402508,0.5527793709545208,0.7236103145227396,-0.20012832677667736,-0.11167480751587422,-0.03225966200124886,1.0,1.0
CatBoost,CAT A - MARKET,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-0.0004979529038766677,-0.0002952171924790461,0.4860557768924303,0.007877000022291334,0.00841845102009757,0.8849093372129941,-7.807501432506202e-05,-0.01967490360991563,0.09096345431149065,-0.21629459609726218,-0.2972025900050536,-0.44997051506737257,0.6528393409714064,0.6735803295142968,-0.12757716675829633,-0.08213632272833193,-0.02345390941455494,1.0,1.0
CatBoost,CAT A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.0005315953870775717,0.0006075575053661195,0.5052631578947369,0.009621272518253466,0.008751479129868024,1.1227793951583056,5.56797814469342e-05,0.014031304924627418,0.06339945397707075,0.22131586385116228,0.333359651538291,0.40066199329089675,0.6887634591190664,0.3443817295595332,-0.11383689685331422,0.04423958370101788,0.012059466383922635,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,0.0005812001682323887,-8.397932441395108e-05,0.49783549783549785,0.008356724291334319,0.007127293574497974,1.1623884266993216,0.0001494287611628193,0.03765604781303047,0.07768698077377482,0.4847150376803188,0.786830288126426,0.9073764523554205,0.36444903068573514,0.18222451534286757,-0.0972400823529016,0.13283698278724865,0.03514153358555361,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,-0.0005785060680108144,1.0448916534900633e-05,0.5016835016835017,0.007868151426893991,0.009082235573016328,0.8721767398046109,-0.00017914075190186452,-0.04514346947926986,0.09701177250484523,-0.4653401160876138,-0.6184012589647108,-0.8880326416635931,0.3747588837368955,0.8126205581315522,-0.2453145233239209,-0.16428157357485718,-0.04848138050100548,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Momentum,positive_relative_momentum_60d,5.0,0.0,251,251,1.0,222,-8.080711242882568e-05,-0.0001518413719143732,0.4900398406374502,0.008235019147778848,0.008071796409347135,0.9803689675764239,1.2144894173167377e-05,0.003060513331638179,0.09079201700043658,0.033709057610466595,0.048949774369821064,0.06888915612686948,0.9450930510315122,0.4725465255157561,-0.14190244952098807,-0.003774761760743095,-0.0010467152621559395,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,5.0,0.0,95,95,1.0,95,0.0005214958386320718,-0.0004733471206445619,0.4631578947368421,0.010575939825568299,0.008152926424607026,1.119149096467722,5.462194561195904e-05,0.013764730294213679,0.06340389529368826,0.2170959722656651,0.34907682487257763,0.45706603777140137,0.6477331496686072,0.3238665748343036,-0.06184471171098371,0.043258869063317995,0.011796172067231492,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0,231,231,1.0,213,0.0007577212967325226,-3.3358724140230243e-05,0.4935064935064935,0.008588090269182648,0.006871868984116318,1.2177011589895954,0.00015384479979988896,0.038768889549572014,0.07886750034896962,0.4915699036742518,0.7925131412109921,0.8973056482748181,0.36979421740497825,0.18489710870248913,-0.13315131330390229,0.13700307161637548,0.0361942942919673,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,5.0,0.0,297,297,1.0,248,-0.0007756313199064537,-0.0002952171924790461,0.49158249158249157,0.007839007930136569,0.00910501761465004,0.8324462897172275,-0.00026550111369698777,-0.06690628065164092,0.09731590758405317,-0.6875163815725912,-0.8798415812170419,-1.3958505023639298,0.1631014757095032,0.9184492621452484,-0.2624651086441381,-0.2273823469515377,-0.06894400720133087,1.0,1.0
