Sequence_Row_ID,Ticker,Accession,Filing_Date,Feature_Cutoff_Session,Event_Session,Publication_Period,Target_Tradable_Abnormal_1D,Test_Year
0,TSLA,0001564590-20-000161,2020-01-03,2020-01-02,2020-01-03,PRE_MARKET,1,2020
1,AVGO,0001193125-20-004721,2020-01-09,2020-01-09,2020-01-10,AFTER_HOURS,0,2020
2,AVGO,0001193125-20-005998,2020-01-13,2020-01-10,2020-01-13,PRE_MARKET,0,2020
3,INTC,0001193125-20-011010,2020-01-21,2020-01-21,2020-01-22,AFTER_HOURS,1,2020
4,NFLX,0001065280-20-000035,2020-01-21,2020-01-21,2020-01-22,AFTER_HOURS,0,2020
5,INTC,0001193125-20-012078,2020-01-22,2020-01-22,2020-01-23,AFTER_HOURS,1,2020
6,AVGO,0001193125-20-013100,2020-01-23,2020-01-23,2020-01-24,AFTER_HOURS,0,2020
7,INTC,0000050863-20-000007,2020-01-23,2020-01-23,2020-01-24,AFTER_HOURS,1,2020
8,ADBE,0001104659-20-006717,2020-01-24,2020-01-24,2020-01-27,AFTER_HOURS,1,2020
9,AAPL,0000320193-20-000008,2020-01-28,2020-01-28,2020-01-29,AFTER_HOURS,1,2020
10,AMD,0000002488-20-000006,2020-01-28,2020-01-28,2020-01-29,AFTER_HOURS,0,2020
11,META,0001326801-20-000010,2020-01-29,2020-01-29,2020-01-30,AFTER_HOURS,1,2020
12,MSFT,0001193125-20-018383,2020-01-29,2020-01-29,2020-01-30,AFTER_HOURS,0,2020
13,TSLA,0001564590-20-002489,2020-01-29,2020-01-29,2020-01-30,AFTER_HOURS,1,2020
14,ADBE,0000796343-20-000040,2020-01-30,2020-01-30,2020-01-31,AFTER_HOURS,1,2020
15,AMZN,0001018724-20-000002,2020-01-30,2020-01-30,2020-01-31,AFTER_HOURS,0,2020
16,AVGO,0001193125-20-021302,2020-01-31,2020-01-31,2020-02-03,AFTER_HOURS,0,2020
17,ADBE,0001104659-20-009759,2020-02-03,2020-02-03,2020-02-04,AFTER_HOURS,1,2020
18,GOOGL,0001652044-20-000004,2020-02-03,2020-02-03,2020-02-04,AFTER_HOURS,0,2020
19,META,0001326801-20-000018,2020-02-03,2020-02-03,2020-02-04,AFTER_HOURS,1,2020
20,QCOM,0001728949-20-000010,2020-02-05,2020-02-05,2020-02-06,AFTER_HOURS,1,2020
21,INTC,0001193125-20-035758,2020-02-13,2020-02-13,2020-02-14,AFTER_HOURS,0,2020
22,NVDA,0001045810-20-000007,2020-02-13,2020-02-13,2020-02-14,AFTER_HOURS,1,2020
23,AAPL,0001193125-20-039203,2020-02-18,2020-02-14,2020-02-18,PRE_MARKET,1,2020
24,AMD,0000002488-20-000019,2020-02-18,2020-02-18,2020-02-19,AFTER_HOURS,1,2020
25,TSLA,0001564590-20-005288,2020-02-19,2020-02-19,2020-02-20,AFTER_HOURS,0,2020
26,AAPL,0001193125-20-050884,2020-02-27,2020-02-26,2020-02-27,PRE_MARKET,0,2020
27,MSFT,0001193125-20-050232,2020-02-26,2020-02-26,2020-02-27,AFTER_HOURS,0,2020
28,META,0001326801-20-000023,2020-03-09,2020-03-09,2020-03-10,AFTER_HOURS,1,2020
29,NVDA,0001045810-20-000033,2020-03-10,2020-03-10,2020-03-11,AFTER_HOURS,0,2020
30,ADBE,0000796343-20-000054,2020-03-12,2020-03-12,2020-03-13,AFTER_HOURS,1,2020
31,AMD,0000002488-20-000034,2020-03-12,2020-03-12,2020-03-13,AFTER_HOURS,1,2020
32,AVGO,0001193125-20-071608,2020-03-12,2020-03-12,2020-03-13,AFTER_HOURS,1,2020
33,META,0001326801-20-000028,2020-03-13,2020-03-13,2020-03-16,AFTER_HOURS,0,2020
34,MSFT,0001193125-20-073072,2020-03-13,2020-03-13,2020-03-16,AFTER_HOURS,0,2020
35,QCOM,0001728949-20-000015,2020-03-13,2020-03-13,2020-03-16,AFTER_HOURS,0,2020
36,TSLA,0001564590-20-011823,2020-03-19,2020-03-19,2020-03-20,AFTER_HOURS,1,2020
37,INTC,0001193125-20-083209,2020-03-24,2020-03-23,2020-03-24,PRE_MARKET,0,2020
38,INTC,0001193125-20-085163,2020-03-25,2020-03-25,2020-03-26,AFTER_HOURS,1,2020
39,META,0001326801-20-000031,2020-03-26,2020-03-26,2020-03-27,AFTER_HOURS,0,2020
40,MSFT,0001193125-20-091746,2020-03-31,2020-03-30,2020-03-31,PRE_MARKET,0,2020
41,AVGO,0001193125-20-092827,2020-03-31,2020-03-31,2020-04-01,AFTER_HOURS,0,2020
42,NVDA,0001193125-20-092939,2020-03-31,2020-03-31,2020-04-01,AFTER_HOURS,0,2020
43,TSLA,0001564590-20-014992,2020-04-02,2020-04-02,2020-04-03,AFTER_HOURS,0,2020
44,AVGO,0001193125-20-099626,2020-04-06,2020-04-06,2020-04-07,AFTER_HOURS,0,2020
45,ADBE,0000796343-20-000085,2020-04-10,2020-04-09,2020-04-13,NON_TRADING_DAY,0,2020
46,AVGO,0001193125-20-102580,2020-04-09,2020-04-09,2020-04-13,AFTER_HOURS,1,2020
47,AVGO,0001193125-20-107418,2020-04-14,2020-04-14,2020-04-15,AFTER_HOURS,0,2020
48,AMZN,0001193125-20-108427,2020-04-15,2020-04-15,2020-04-16,AFTER_HOURS,1,2020
49,NVDA,0001045810-20-000048,2020-04-16,2020-04-16,2020-04-17,AFTER_HOURS,0,2020
50,AVGO,0001193125-20-114389,2020-04-22,2020-04-21,2020-04-22,PRE_MARKET,1,2020
51,NFLX,0001065280-20-000153,2020-04-21,2020-04-21,2020-04-22,AFTER_HOURS,0,2020
52,INTC,0000050863-20-000016,2020-04-23,2020-04-23,2020-04-24,AFTER_HOURS,1,2020
