Ticker,Date,Open,High,Low,Close,Adj_Close,Volume,Log_Return_1D,Log_Return_3D,Log_Return_5D,Volatility_14D,Avg_Volume_20D_Previous,Relative_Volume_20D,SMA_20,Price_to_SMA20,RSI_14,Intraday_Return,Daily_Range,Log_Return_1D_Z60,Log_Return_3D_Z60,Log_Return_5D_Z60,Volatility_14D_Z60,Relative_Volume_20D_Z60,Price_to_SMA20_Z60,Intraday_Return_Z60,Daily_Range_Z60
AAPL,2019-06-03,43.900001525878906,44.47999954223633,42.567501068115234,43.32500076293945,41.41802978515625,161584400,,,,,,,,,,-0.013097966809875627,0.04414306844645367,,,,,,,,
AAPL,2019-06-04,43.86000061035156,44.95750045776367,43.630001068115234,44.90999984741211,42.93325805664063,123872000,0.035930483576804804,,,,,,,,,0.02393979075350794,0.029559104746354908,,,,,,,,
AAPL,2019-06-05,46.06999969482422,46.247501373291016,45.28499984741211,45.6349983215332,43.6263427734375,119093600,0.016014388294285743,,,,,,,,,-0.009442183116399883,0.021091301879696638,,,,,,,,
AAPL,2019-06-06,45.77000045776367,46.36750030517578,45.53749847412109,46.30500030517578,44.266868591308594,90105200,0.014575349958689468,0.06652022182978005,,,,,,,,0.011688875727799086,0.017924669594741812,,,,,,,,
AAPL,2019-06-07,46.62749862670898,47.97999954223633,46.442501068115234,47.53749847412109,45.44510269165039,122737600,0.026268553344558437,0.056858291597533486,,,,,,,,0.01951637712109333,0.032342856134049455,,,,,,,,
AAPL,2019-06-10,47.95249938964844,48.84249877929688,47.90499877929688,48.14500045776367,46.02587127685547,104883600,0.012698594193821043,0.05354249749706891,0.1054873693681593,,,,,,,0.004014411564891018,0.019472426858162434,,,,,,,,
AAPL,2019-06-11,48.71500015258789,49.0,48.400001525878906,48.70249938964844,46.5588264465332,107731600,0.011512940466538574,0.05048008800491786,0.08106982625789298,,,,,,,-0.0002566101385671482,0.012319664937948165,,,,,,,,
AAPL,2019-06-12,48.48749923706055,48.99250030517578,48.34749984741211,48.54750061035156,46.41064834594727,73012800,-0.003187674801644572,0.021023859858714945,0.06186776316196285,,,,,,,0.0012374606699689927,0.013285966314528278,,,,,,,,
AAPL,2019-06-13,48.67499923706055,49.1974983215332,48.400001525878906,48.53749847412109,46.40110397338867,86698400,-0.00020567163863922052,0.008119594026254853,0.047086741564634244,,,,,,,-0.0028248744754939548,0.01643052939943951,,,,,,,,
AAPL,2019-06-14,47.88750076293945,48.397499084472656,47.57500076293945,48.185001373291016,46.064109802246094,75046000,-0.007289133923207903,-0.010682480363491644,0.013529054296867819,,,,,,,0.006212489806563415,0.017069592157137815,,,,,,,,
AAPL,2019-06-17,48.22499847412109,48.7400016784668,48.04249954223633,48.47249984741211,46.33895492553711,58676400,0.005948848875021341,-0.0015459566868258248,0.006779308978068156,,,,,,,0.005132221485166788,0.014389646468124288,,,,,,,,
AAPL,2019-06-18,49.01250076293945,50.0724983215332,48.8025016784668,49.61249923706055,47.42877960205078,106204000,0.02324624262049508,0.021905957572308593,0.018512611132024875,,,,,,,0.012241743734381805,0.02559832023373897,,,,,,,,
AAPL,2019-06-19,49.91999816894531,49.970001220703125,49.32749938964844,49.46749877929688,47.29014587402344,84496800,-0.0029272677308229025,0.026267823764693443,0.018773018202846475,,,,,,,-0.00906449131101783,0.012988363004187046,,,,,,,,
AAPL,2019-06-20,50.09249877929688,50.15250015258789,49.50749969482422,49.8650016784668,47.670166015625,86056000,0.008003810491825443,0.028322785381497698,0.02698250033331117,,,,,,,-0.004541540277964939,0.01293493304026504,,,,,,,,
AAPL,2019-06-21,49.70000076293945,50.212501525878906,49.53749847412109,49.69499969482422,47.50765228271485,191202400,-0.0034149530584043565,0.0016615897025981105,0.030856681198114626,0.012779439820899232,,,,,94.86322764612375,-0.00010062511143793529,0.01358291691121837,,,,,,,,
AAPL,2019-06-24,49.6349983215332,50.040000915527344,49.54249954223633,49.64500045776367,47.4598503112793,72881600,-0.0010067017488494861,0.003582155684571585,0.023901130574243708,0.010595634885721978,,,,,94.45311329228166,0.0002015137819826318,0.010021177735999285,,,,,,,,
AAPL,2019-06-25,49.60749816894531,49.81499862670898,48.8224983215332,48.89250183105469,46.74046325683594,84281200,-0.015273856586353836,-0.019695511393607753,-0.014618968632605098,0.011813999816388957,,,,,88.26847653563871,-0.014413069884226082,0.020299642440170143,,,,,,,,
AAPL,2019-06-26,49.442501068115234,50.247501373291016,49.337501525878906,49.95000076293945,47.751426696777344,104270000,0.02139870452812449,0.005118146192921216,0.009707003626342263,0.012370394841935143,,,,,89.32620522362129,0.010264442207829516,0.01821821488513943,,,,,,,,
AAPL,2019-06-27,50.0724983215332,50.39250183105469,49.89250183105469,49.935001373291016,47.73707962036133,83598800,-0.00030049850138672484,0.005824349440384098,0.0014026946331300012,0.0108719040894448,,,,,89.20328782050458,-0.002745957418766487,0.010013016646624896,,,,,,,,
AAPL,2019-06-28,49.66999816894531,49.875,49.26250076293945,49.47999954223633,47.3021125793457,124442400,-0.009153488533920208,0.011944717492817631,-0.004335840842385756,0.011019567616431794,,,46.11883964538574,0.025657040442871315,85.36792174429257,-0.003825219120458412,0.012378723579771156,,,,,,,,
AAPL,2019-07-01,50.79249954223633,51.122501373291016,50.16249847412109,50.38750076293945,48.16967010498047,109012000,0.018174614149458205,0.008720627114151178,0.014845475055922023,0.011593004917097418,103043740.0,1.0579196756639462,46.45642166137695,0.03687861402867987,86.60499509794357,-0.007973594191010402,0.019052401580433642,,,,,,,,
AAPL,2019-07-02,50.352500915527344,50.782501220703125,50.34000015258789,50.682498931884766,48.45167922973633,67740800,0.005837424699571514,0.01485855031510941,0.03595675634184736,0.011507235918776348,100415120.0,0.674607569059321,46.73234272003174,0.03679114740737366,86.99004308567861,0.006553756225754048,0.008730845507636432,,,,,,,,
AAPL,2019-07-03,50.81999969482422,51.11000061035156,50.67250061035156,51.102500915527344,48.85319519042969,45448000,0.008252787786245828,0.03226482663527558,0.022810839599968644,0.011543779264328572,97608560.0,0.465614900988192,46.99368534088135,0.03956935567108388,87.53925545555255,0.0055588591578030755,0.008561224835614003,,,,,,,,
