Model,Mean_Yearly_Accuracy,Mean_Yearly_Balanced_Accuracy,Mean_Yearly_Precision,Mean_Yearly_Recall,Mean_Yearly_F1,Mean_Yearly_ROC_AUC,Pooled_Accuracy,Pooled_Balanced_Accuracy,Pooled_Precision,Pooled_Recall,Pooled_F1,Pooled_ROC_AUC
LSTM C - MARKET SEQUENCE + SEC + FINBERT,0.5382769212741312,0.5098474638054233,0.6174603174603175,0.16379816044358772,0.22075083386558797,0.506946467723405,0.5358565737051793,0.5037004405286344,0.4634146341463415,0.16740088105726872,0.2459546925566343,0.5129034841810172
LSTM B - MARKET SEQUENCE + SEC,0.5463656077138429,0.5062003968253969,0.125,0.04365079365079365,0.06470588235294118,0.4662906068835788,0.547808764940239,0.5042290748898678,0.5,0.048458149779735685,0.08835341365461848,0.47540248297957555
LSTM A - MARKET SEQUENCE,0.5467760942772494,0.5017902236652236,0.35,0.012103174603174602,0.022902603664416585,0.45571034307147806,0.547808764940239,0.5011533840608731,0.5,0.013215859030837005,0.02575107296137339,0.47551461754104923
