Test_Year,Model,Feature,Coefficient,Abs_Coefficient
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Stock_vs_QQQ_3D,0.003136913661782684,0.003136913661782684
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Stock_vs_QQQ_5D,-0.18909195744145016,0.18909195744145016
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Volatility_14D,0.11417702481832426,0.11417702481832426
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Relative_Volume_20D,0.06013171262980061,0.06013171262980061
2023,MODEL C - MARKET + SEC + FINBERT,numeric__RSI_14,0.2621761925954287,0.2621761925954287
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Price_to_SMA20,-0.11956904691344986,0.11956904691344986
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Intraday_Return,0.4059047102075108,0.4059047102075108
2023,MODEL C - MARKET + SEC + FINBERT,numeric__Daily_Range,-0.20731706991808718,0.20731706991808718
2023,MODEL C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_1D,-0.613377325598591,0.613377325598591
2023,MODEL C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_3D,0.02602114231309242,0.02602114231309242
2023,MODEL C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_5D,0.07714474847154325,0.07714474847154325
2023,MODEL C - MARKET + SEC + FINBERT,numeric__QQQ_Volatility_14D,0.0822832988671389,0.0822832988671389
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_ADBE,-0.03593121572390104,0.03593121572390104
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_AMD,-0.7563411347118745,0.7563411347118745
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_AMZN,-0.6729187363775092,0.6729187363775092
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_AVGO,-0.48342243178208344,0.48342243178208344
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_GOOGL,-0.4531412392245471,0.4531412392245471
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_INTC,-1.0052072276176556,1.0052072276176556
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_META,-0.6453231420207413,0.6453231420207413
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_MSFT,0.46416231455208534,0.46416231455208534
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_NFLX,-0.460699645776199,0.460699645776199
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_NVDA,-0.12093756842934629,0.12093756842934629
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_QCOM,0.05824272876009547,0.05824272876009547
2023,MODEL C - MARKET + SEC + FINBERT,categorical__Ticker_TSLA,-0.03438330325804435,0.03438330325804435
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_EX99,-0.27150111679675853,0.27150111679675853
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Event_Earnings,-0.45592915191885935,0.45592915191885935
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.17894359694325362,0.17894359694325362
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.2184655898215666,0.2184655898215666
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.39254395432342304,0.39254395432342304
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,-0.473120701189369,0.473120701189369
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.03341359206345026,0.03341359206345026
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,-0.028957773286074375,0.028957773286074375
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.014656915610804986,0.014656915610804986
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.7426139387688162,0.7426139387688162
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,-0.37259931842280253,0.37259931842280253
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.4889378661735907,0.4889378661735907
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Item_8_01,-0.14443822178184537,0.14443822178184537
2023,MODEL C - MARKET + SEC + FINBERT,binary__Has_Sentiment_History,-0.513373209506241,0.513373209506241
2023,MODEL C - MARKET + SEC + FINBERT,sentiment__Mean_Net_Sentiment,-0.0685811567316825,0.0685811567316825
2023,MODEL C - MARKET + SEC + FINBERT,sentiment__Sentiment_Momentum_3,0.06921484196618921,0.06921484196618921
2024,MODEL A - MARKET,numeric__Stock_vs_QQQ_1D,-0.11767484979043483,0.11767484979043483
2024,MODEL A - MARKET,numeric__Stock_vs_QQQ_3D,0.01029259344982358,0.01029259344982358
2024,MODEL A - MARKET,numeric__Stock_vs_QQQ_5D,-0.26262455031397697,0.26262455031397697
2024,MODEL A - MARKET,numeric__Volatility_14D,0.11324074895899654,0.11324074895899654
