Test_Year,Model,Train_Size,Validation_Year,Validation_Size,Test_Size,Sequence_Length,Sequence_Features,Static_Features,Final_Epochs,Best_Val_Loss,Final_Train_Loss,Train_Accuracy,Train_Balanced_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_ROC_AUC,BA_Gap,AUC_Gap,Selected_SEC_Features,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Brier_Score,Log_Loss,TN,FP,FN,TP
2023,TRANSFORMER A - MARKET SEQUENCE,441,2022,134,118,30,11,13,1,0.6901876463818906,0.6841651075551299,0.5578231292517006,0.49457203815261047,0.2,0.005208333333333333,0.01015228426395939,0.5302041499330656,-0.005427961847389529,0.02226764199655773,,0.5338983050847458,0.5,0.0,0.0,0.0,0.5079365079365079,0.2508879601955414,0.6950132250785828,63,0,55,0
2023,TRANSFORMER B - MARKET SEQUENCE + SEC,441,2022,134,118,30,11,26,2,0.6900876173332556,0.6776218963047814,0.5668934240362812,0.5073732429718876,0.5294117647058824,0.046875,0.0861244019138756,0.6203564257028112,0.0197830553817,0.23536364071002625,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5169491525423728,0.4875901875901876,0.375,0.05454545454545454,0.09523809523809523,0.384992784992785,0.26107341051101685,0.716029167175293,58,5,52,3
2023,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,441,2022,134,118,30,11,29,1,0.6940671152143336,0.68862710707312,0.5873015873015873,0.5284262048192772,0.7777777777777778,0.07291666666666667,0.13333333333333333,0.5475861780455153,0.07489085128392364,0.14931777977711713,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.4830508474576271,0.4535353535353535,0.125,0.01818181818181818,0.031746031746031744,0.3982683982683982,0.2546762228012085,0.7025505304336548,56,7,54,1
2024,TRANSFORMER A - MARKET SEQUENCE,559,2023,118,122,30,11,13,1,0.6991281792268915,0.6945489632209,0.5599284436493739,0.5058198380566802,0.5263157894736842,0.04048582995951417,0.07518796992481203,0.5318306861829128,-0.005814361077518981,0.02533717968940641,,0.5491803278688525,0.5116341991341992,0.6,0.05357142857142857,0.09836065573770492,0.5064935064935064,0.2488359659910202,0.6908196806907654,64,2,53,3
2024,TRANSFORMER B - MARKET SEQUENCE + SEC,559,2023,118,122,30,11,27,1,0.6982826651152918,0.6969255217499298,0.552772808586762,0.4973009446693657,0.38461538461538464,0.020242914979757085,0.038461538461538464,0.5454167964289423,-0.0026990553306343035,-0.0016611256489799109,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5409836065573771,0.5,0.0,0.0,0.0,0.5470779220779222,0.24999219179153442,0.6932141184806824,66,0,56,0
2024,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,559,2023,118,122,30,11,30,1,0.6931713910426124,0.7013386769456812,0.5813953488372093,0.5427631578947368,0.5714285714285714,0.21052631578947367,0.3076923076923077,0.5591975500882383,0.07387787650945543,0.1035698444605328,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5,0.4688852813852814,0.3333333333333333,0.08928571428571429,0.14084507042253522,0.45562770562770555,0.25097352266311646,0.6951131820678711,56,10,51,5
2025,TRANSFORMER A - MARKET SEQUENCE,681,2024,122,150,30,11,13,2,0.6879789389547755,0.6879934893480657,0.55359765051395,0.5029336266960029,0.48148148148148145,0.0429042904290429,0.07878787878787878,0.5716468472244051,0.014561533672747151,0.18810760303835855,,0.56,0.4883720930232558,0.0,0.0,0.0,0.3835392441860465,0.25097110867500305,0.69517582654953,84,2,64,0
2025,TRANSFORMER B - MARKET SEQUENCE + SEC,681,2024,122,150,30,11,27,4,0.685609233183939,0.6883937597449831,0.5609397944199707,0.5088925559222589,0.6111111111111112,0.036303630363036306,0.06853582554517133,0.5748424048754082,0.008892555922258905,0.06721159092191975,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5733333333333334,0.5,0.0,0.0,0.0,0.5076308139534884,0.2454996556043625,0.6841042041778564,86,0,64,0
2025,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,681,2024,122,150,30,11,30,9,0.6935410538657767,0.6763160074684939,0.6138032305433186,0.5843417675100844,0.631578947368421,0.31683168316831684,0.421978021978022,0.6248624862486248,0.09342606983566576,0.1537505676439736,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.54,0.4909156976744186,0.4,0.15625,0.2247191011235955,0.47111191860465124,0.24974477291107178,0.6927038431167603,71,15,54,10
2026,TRANSFORMER A - MARKET SEQUENCE,831,2025,150,104,30,11,13,3,0.6944829551378886,0.6884129894482673,0.5583634175691937,0.5,0.0,0.0,0.0,0.550291271258104,0.0,-0.050079786255810665,,0.47115384615384615,0.5,0.0,0.0,0.0,0.6003710575139146,0.2556222379207611,0.7044790983200073,49,0,55,0
