Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Has_8K,Has_EX99,Sentiment_Source,Filing_Block_Count,EightK_Block_Count,EX99_Block_Count,Item_Numbers,Source_Types,Positive_Block_Count,Negative_Block_Count,Neutral_Block_Count,Positive_Ratio,Negative_Ratio,Neutral_Ratio,Mean_Positive,Mean_Negative,Mean_Neutral,Mean_Net_Sentiment,Median_Net_Sentiment,Min_Net_Sentiment,Max_Net_Sentiment,Max_Positive_Probability,Max_Negative_Probability,Most_Positive_Source_Type,Most_Positive_Block_ID,Most_Negative_Source_Type,Most_Negative_Block_ID,Has_Item_1_01,Has_Item_1_02,Has_Item_1_05,Has_Item_2_01,Has_Item_2_02,Has_Item_2_03,Has_Item_3_02,Has_Item_5_02,Has_Item_5_03,Has_Item_5_07,Has_Item_5_08,Has_Item_7_01,Has_Item_8_01
AAPL,2020-01-28,2020-01-28T16:30:40-05:00,0000320193-20-000008,1,1,EX99,3,1,2,2.02,8-K|EX-99.1,1,0,1,0.5,0.0,0.5,0.5000017793961433,1.2222968275299453e-06,0.4999970298446383,0.5000005570993158,0.5000005570993158,1.1179781722603366e-06,0.9999999962204592,1.0,2.440814114379464e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AAPL,2020-02-18,2020-02-18T06:24:57-05:00,0001193125-20-039203,1,1,EX99,3,1,2,7.01,8-K|EX-99.1,2,0,0,1.0,0.0,0.0,0.7775358855724335,0.00578341702930625,0.21668064931873227,0.7717524685431272,0.7717524685431272,0.5564577174372971,0.9870472196489573,0.9918763637542723,0.0067376899532973,EX-99.1,1,EX-99.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAPL,2020-02-27,2020-02-27T06:14:21-05:00,0001193125-20-050884,1,0,8K,2,2,0,5.07,8-K,0,0,2,0.0,0.0,1.0,2.306056273937429e-06,5.866170681656513e-06,0.9999918937683105,-3.560114407719084e-06,-3.560114407719084e-06,-6.202099484653445e-06,-9.181293307847228e-07,4.1056214286072645e-06,1.030772091326071e-05,8-K,1,8-K,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AAPL,2020-04-30,2020-04-30T16:30:41-04:00,0000320193-20-000050,1,1,EX99,3,1,2,2.02,8-K|EX-99.1,1,0,1,0.5,0.0,0.5,0.49999918243219094,1.2147828130082416e-06,0.4999996324830818,0.49999796764937793,0.49999796764937793,-4.7325568175438093e-07,0.9999964085544376,0.999996781349182,2.056770881608827e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AAPL,2020-05-11,2020-05-11T16:31:15-04:00,0001193125-20-139112,1,0,8K,2,2,0,8.01,8-K,0,0,2,0.0,0.0,1.0,9.262552339350805e-06,2.8833092642344127e-06,0.9999879002571106,6.379243075116392e-06,6.379243075116392e-06,4.98776716995053e-06,7.770718980282254e-06,9.656077054387424e-06,4.668309884436894e-06,8-K,1,8-K,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AAPL,2020-07-30,2020-07-30T18:55:04-04:00,0000320193-20-000060,1,1,EX99,3,1,2,2.02,8-K|EX-99.1,1,0,1,0.5,0.0,0.5,0.5000003200047729,1.0652152493406675e-07,0.49999956816458635,0.500000213483248,0.500000213483248,5.640717972710263e-07,0.9999998628946988,0.9999998807907104,1.9514703808454215e-07,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AAPL,2020-08-07,2020-08-07T17:20:23-04:00,0001193125-20-213158,1,0,8K,1,1,0,5.03,8-K,0,0,1,0.0,0.0,1.0,1.4039885172678623e-05,8.318737855006475e-06,0.9999775886535645,5.721147317672148e-06,5.721147317672148e-06,5.721147317672148e-06,5.721147317672148e-06,1.4039885172678623e-05,8.318737855006475e-06,8-K,0,8-K,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAPL,2020-08-20,2020-08-20T16:30:57-04:00,0001193125-20-225672,1,0,8K,2,2,0,8.01,8-K,0,0,2,0.0,0.0,1.0,7.80900495556125e-06,2.610216853327074e-06,0.9999895691871644,5.198788102234175e-06,5.198788102234175e-06,4.94781482984763e-06,5.449761374620721e-06,9.884782230074052e-06,4.435020855453331e-06,8-K,1,8-K,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AAPL,2020-10-29,2020-10-29T16:30:32-04:00,0000320193-20-000094,1,1,EX99,3,1,2,2.02,8-K|EX-99.1,1,0,1,0.5,0.0,0.5,0.4999994068831057,1.7585684073395669e-06,0.4999988472289943,0.49999764831469834,0.49999764831469834,-3.337891342880539e-06,0.9999986345207396,0.9999986886978148,3.4629597394086886e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AAPL,2021-01-05,2021-01-05T16:32:16-05:00,0001193125-21-001982,1,0,8K,1,1,0,5.02,8-K,0,0,1,0.0,0.0,1.0,5.741655968449777e-06,2.3559171040687943e-06,0.9999918937683104,3.3857388643809827e-06,3.3857388643809827e-06,3.3857388643809827e-06,3.3857388643809827e-06,5.741655968449777e-06,2.3559171040687943e-06,8-K,0,8-K,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AAPL,2021-01-27,2021-01-27T16:30:35-05:00,0000320193-21-000009,1,1,EX99,3,1,2,2.02,8-K|EX-99.1,1,0,1,0.5,0.0,0.5,0.4999815824684361,2.252810990199805e-06,0.5000162238793564,0.49997932965744596,0.49997932965744596,-4.347423981698739e-06,0.9999630067388736,0.9999630451202391,4.467240614758339e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
