Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Has_8K,Has_EX99,Sentiment_Source,Filing_Block_Count,EightK_Block_Count,EX99_Block_Count,Item_Numbers,Source_Types,Has_Event_Earnings,Has_Event_Guidance,Has_Event_Buyback,Positive_Block_Count,Negative_Block_Count,Neutral_Block_Count,Positive_Ratio,Negative_Ratio,Neutral_Ratio,Mean_Positive,Mean_Negative,Mean_Neutral,Mean_Net_Sentiment,Median_Net_Sentiment,Min_Net_Sentiment,Max_Net_Sentiment,Unweighted_Mean_Positive,Unweighted_Mean_Negative,Unweighted_Mean_Neutral,Unweighted_Mean_Net_Sentiment,Sentiment_Total_Tokens,Sentiment_Weighting,Max_Positive_Probability,Max_Negative_Probability,Most_Positive_Source_Type,Most_Positive_Block_ID,Most_Negative_Source_Type,Most_Negative_Block_ID,Has_Item_1_01,Has_Item_1_02,Has_Item_1_05,Has_Item_2_01,Has_Item_2_02,Has_Item_2_03,Has_Item_2_05,Has_Item_3_02,Has_Item_3_03,Has_Item_5_02,Has_Item_5_03,Has_Item_5_07,Has_Item_5_08,Has_Item_7_01,Has_Item_8_01,Publication_Period,Filing_Session_Open_ET,Filing_Session_Close_ET,Feature_Cutoff_Session,Event_Session
AAPL,2020-01-28,2020-01-28T16:30:40-05:00,0000320193-20-000008,1,1,EX99,4,2,2,2.02|9.01,8-K|EX-99.1,1,1,0,1,0,1,0.7862190812720848,0.0,0.2137809187279152,0.7862198420739694,5.247710308174999e-07,0.2137796603396092,0.7862193173029385,0.5000005570993158,1.1179781722603366e-06,0.9999999962204592,0.5000017793961433,1.2222968275299453e-06,0.4999970298446383,0.5000005570993158,566.0,token_count,1.0,2.440814114379464e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFTER_HOURS,2020-01-28 09:30:00-05:00,2020-01-28 16:00:00-05:00,2020-01-28,2020-01-29
AAPL,2020-02-18,2020-02-18T06:24:57-05:00,0001193125-20-039203,1,1,EX99,4,2,2,7.01|9.01,8-K|EX-99.1,1,1,0,1,0,1,0.0508474576271186,0.0,0.9491525423728814,0.3937500119209289,0.0265729761903442,0.5796770021571951,0.3671770357305846,0.5530060024466366,0.3461397942155599,0.7598722106777132,0.5689467638731003,0.0159407614264637,0.4151124283671378,0.5530060024466366,472.0,token_count,0.7639771103858948,0.0277766231447458,EX-99.1,1,EX-99.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PRE_MARKET,2020-02-18 09:30:00-05:00,2020-02-18 16:00:00-05:00,2020-02-14,2020-02-18
AAPL,2020-02-27,2020-02-27T06:14:21-05:00,0001193125-20-050884,1,0,8K,2,2,0,5.07,8-K,0,0,0,0,0,2,0.0,0.0,1.0,1.5114430887585407e-06,3.904966683285829e-06,0.9999946309374524,-2.393523594527288e-06,-3.560114407719084e-06,-6.202099484653445e-06,-9.181293307847228e-07,2.306056273937429e-06,5.866170681656513e-06,0.9999918937683104,-3.560114407719084e-06,616.0,token_count,4.1056214286072645e-06,1.030772091326071e-05,8-K,1,8-K,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PRE_MARKET,2020-02-27 09:30:00-05:00,2020-02-27 16:00:00-05:00,2020-02-26,2020-02-27
AAPL,2020-04-30,2020-04-30T16:30:41-04:00,0000320193-20-000050,1,1,EX99,4,2,2,2.02|9.01,8-K|EX-99.1,1,0,1,1,0,1,0.7235099337748344,0.0,0.2764900662251656,0.7235090424476838,4.008700239746036e-07,0.2764905398051894,0.7235086415776598,0.5000005664766718,4.724398905864291e-06,0.9999964085544376,0.500000990042281,4.235656092532736e-07,0.4999985595994758,0.5000005664766718,604.0,token_count,0.999996781349182,4.743364740988909e-07,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFTER_HOURS,2020-04-30 09:30:00-04:00,2020-04-30 16:00:00-04:00,2020-04-30,2020-05-01
AAPL,2020-05-11,2020-05-11T16:31:15-04:00,0001193125-20-139112,1,0,8K,3,3,0,8.01|9.01,8-K,0,0,0,0,0,3,0.0,0.0,1.0,1.4554408668398758e-05,4.461869319291524e-06,0.9999810075532009,1.0092539349107237e-05,7.77072716573457e-06,6.112364189903019e-06,1.8090837329509668e-05,1.6240622850697644e-05,5.582646622315224e-06,0.9999781847000122,1.0657976228382418e-05,837.0,token_count,2.796681110339705e-05,9.87597377388738e-06,8-K,2,8-K,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AFTER_HOURS,2020-05-11 09:30:00-04:00,2020-05-11 16:00:00-04:00,2020-05-11,2020-05-12
AAPL,2020-07-30,2020-07-30T18:55:04-04:00,0000320193-20-000060,1,1,EX99,4,2,2,2.02|9.01,8-K|EX-99.1,1,0,0,1,0,1,0.7137870855148342,0.0,0.2862129144851658,0.7137876688658931,6.949673713606753e-08,0.2862122281052537,0.713787599369156,0.500001000089406,2.137284113246096e-06,0.9999998628946988,0.5000011081293678,1.0803996186581349e-07,0.4999987336995595,0.500001000089406,573.0,token_count,0.9999998807907104,1.981839119480356e-07,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFTER_HOURS,2020-07-30 09:30:00-04:00,2020-07-30 16:00:00-04:00,2020-07-30,2020-07-31
AAPL,2020-08-07,2020-08-07T17:20:23-04:00,0001193125-20-213158,1,0,8K,2,2,0,5.03|9.01,8-K,0,0,0,0,0,2,0.0,0.0,1.0,3.343234639641611e-05,2.407106704865392e-05,0.9999424513413816,9.361279347762182e-06,1.0843773452506866e-06,-1.4016230124980211e-05,1.6184984815481585e-05,4.235608685121406e-05,4.127170950596337e-05,0.9999163150787354,1.0843773452506866e-06,239.0,token_count,5.863680416950956e-05,7.265303429448977e-05,8-K,1,8-K,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AFTER_HOURS,2020-08-07 09:30:00-04:00,2020-08-07 16:00:00-04:00,2020-08-07,2020-08-10
AAPL,2020-08-20,2020-08-20T16:30:57-04:00,0001193125-20-225672,1,0,8K,3,3,0,8.01|9.01,8-K,0,0,0,0,0,3,0.0,0.0,1.0,1.818299304260441e-05,5.2914863886831645e-06,0.999976520238505,1.2891506653921251e-05,6.112341452535475e-06,4.947824947976187e-06,3.488651418592781e-05,2.212499157394632e-05,6.809431378466495e-06,0.999971071879069,1.5315560195479822e-05,827.0,token_count,4.875573722529225e-05,1.3869223039364442e-05,8-K,2,8-K,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AFTER_HOURS,2020-08-20 09:30:00-04:00,2020-08-20 16:00:00-04:00,2020-08-20,2020-08-21
AAPL,2020-10-29,2020-10-29T16:30:32-04:00,0000320193-20-000094,1,1,EX99,4,2,2,2.02|9.01,8-K|EX-99.1,1,0,0,1,0,1,0.8503787878787878,0.0,0.1496212121212121,0.8503784910617184,8.447817156314648e-07,0.1496206696310312,0.8503776462800028,0.4999993826782773,1.3083581507089548e-07,0.9999986345207396,0.500002078875923,2.6961976455908147e-06,0.4999952113456629,0.4999993826782773,528.0,token_count,0.9999986886978148,5.338218215911184e-06,EX-99.1,0,EX-99.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFTER_HOURS,2020-10-29 09:30:00-04:00,2020-10-29 16:00:00-04:00,2020-10-29,2020-10-30
AAPL,2021-01-05,2021-01-05T16:32:16-05:00,0001193125-21-001982,1,0,8K,1,1,0,5.02,8-K,0,0,0,0,0,1,0.0,0.0,1.0,5.741655968449777e-06,2.3559171040687943e-06,0.9999918937683104,3.3857388643809827e-06,3.3857388643809827e-06,3.3857388643809827e-06,3.3857388643809827e-06,5.741655968449777e-06,2.3559171040687943e-06,0.9999918937683104,3.3857388643809827e-06,318.0,token_count,5.741655968449777e-06,2.3559171040687943e-06,8-K,0,8-K,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AFTER_HOURS,2021-01-05 09:30:00-05:00,2021-01-05 16:00:00-05:00,2021-01-05,2021-01-06
