Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Source_Type,Cleaned_File
NVDA,2021-11-17,2021-11-17T16:20:59-05:00,0001045810-21-000160,8-K,NVDA_2021-11-17_0001045810-21-000160_8-K.txt
NVDA,2021-11-17,2021-11-17T16:20:59-05:00,0001045810-21-000160,EX-99.1,NVDA_2021-11-17_0001045810-21-000160_EX-99-1.txt
NVDA,2021-11-17,2021-11-17T16:20:59-05:00,0001045810-21-000160,EX-99.2,NVDA_2021-11-17_0001045810-21-000160_EX-99-2.txt
NVDA,2022-02-08,2022-02-08T08:09:34-05:00,0001045810-22-000005,8-K,NVDA_2022-02-08_0001045810-22-000005_8-K.txt
NVDA,2022-02-16,2022-02-16T16:21:16-05:00,0001045810-22-000008,8-K,NVDA_2022-02-16_0001045810-22-000008_8-K.txt
NVDA,2022-02-16,2022-02-16T16:21:16-05:00,0001045810-22-000008,EX-99.1,NVDA_2022-02-16_0001045810-22-000008_EX-99-1.txt
NVDA,2022-02-16,2022-02-16T16:21:16-05:00,0001045810-22-000008,EX-99.2,NVDA_2022-02-16_0001045810-22-000008_EX-99-2.txt
NVDA,2022-03-09,2022-03-09T16:17:13-05:00,0001045810-22-000023,8-K,NVDA_2022-03-09_0001045810-22-000023_8-K.txt
NVDA,2022-05-25,2022-05-25T16:22:25-04:00,0001045810-22-000073,8-K,NVDA_2022-05-25_0001045810-22-000073_8-K.txt
NVDA,2022-05-25,2022-05-25T16:22:25-04:00,0001045810-22-000073,EX-99.1,NVDA_2022-05-25_0001045810-22-000073_EX-99-1.txt
NVDA,2022-05-25,2022-05-25T16:22:25-04:00,0001045810-22-000073,EX-99.2,NVDA_2022-05-25_0001045810-22-000073_EX-99-2.txt
NVDA,2022-06-06,2022-06-06T17:29:41-04:00,0001045810-22-000088,8-K,NVDA_2022-06-06_0001045810-22-000088_8-K.txt
NVDA,2022-08-08,2022-08-08T09:16:50-04:00,0001045810-22-000133,8-K,NVDA_2022-08-08_0001045810-22-000133_8-K.txt
NVDA,2022-08-08,2022-08-08T09:16:50-04:00,0001045810-22-000133,EX-99.1,NVDA_2022-08-08_0001045810-22-000133_EX-99-1.txt
NVDA,2022-08-24,2022-08-24T16:24:34-04:00,0001045810-22-000136,8-K,NVDA_2022-08-24_0001045810-22-000136_8-K.txt
NVDA,2022-08-24,2022-08-24T16:24:34-04:00,0001045810-22-000136,EX-99.1,NVDA_2022-08-24_0001045810-22-000136_EX-99-1.txt
NVDA,2022-08-24,2022-08-24T16:24:34-04:00,0001045810-22-000136,EX-99.2,NVDA_2022-08-24_0001045810-22-000136_EX-99-2.txt
NVDA,2022-08-31,2022-08-31T17:00:22-04:00,0001045810-22-000146,8-K,NVDA_2022-08-31_0001045810-22-000146_8-K.txt
NVDA,2022-09-01,2022-09-01T07:05:16-04:00,0001045810-22-000151,8-K,NVDA_2022-09-01_0001045810-22-000151_8-K.txt
NVDA,2022-11-16,2022-11-16T16:21:18-05:00,0001045810-22-000163,8-K,NVDA_2022-11-16_0001045810-22-000163_8-K.txt
