Family,Model,Test_Year,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
CatBoost,CAT A - MARKET,2023,5.0,0.0,118,118,1.0,94,-0.00015444594362558857,-6.249448403824933e-05,0.4915254237288136,0.00666894582491184,0.006750391319878437,0.9550035435374146,8.371643288556558e-05,0.021096541087162527,0.09330432480522838,0.22610464339355435,0.32666390921911126,0.20851201906118882,0.8349996610870934,0.4174998305435467,-0.08913535731276001,0.016762015956926835,0.017008529254237237,1.0,1.0
CatBoost,CAT B - MARKET + SEC,2023,5.0,0.0,118,118,1.0,94,-0.0007930531460098422,-0.0005875186597191486,0.4661016949152542,0.006413685157650812,0.00708465007777708,0.7903352862435687,-0.00026927668528970176,-0.06785772469300484,0.09600522079248212,-0.7068128601014434,-0.8882982954749525,-0.6520123989065751,0.5149945682753633,0.7425027158623183,-0.09713633420174805,-0.06939255456284643,-0.07036806433900489,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,2023,5.0,0.0,118,118,1.0,94,0.0005915358190806251,-0.00044188413000548123,0.4830508474576271,0.007598121977207276,0.005955602066381984,1.1921354703300928,0.00010858615753633347,0.027363711699156034,0.0949823928317103,0.2880924651755093,0.4204712253377236,0.28659963563421,0.7746572186819789,0.38732860934098945,-0.06920148318211483,0.022944132740506884,0.023282600209550974,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,2023,5.0,0.0,118,118,1.0,94,-0.00023753382108479518,-0.0001735452918762417,0.4915254237288136,0.0066128249169183796,0.006859547267821198,0.931897860034455,-4.631036701919999e-06,-0.0011670212488838398,0.09539886410018876,-0.012233072792755933,-0.017602339712174397,-0.011078028486027751,0.9911700634465974,0.5044149682767013,-0.10488955791502808,-0.0056417834735834616,-0.005723823568584807,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,2023,5.0,0.0,118,118,1.0,94,-0.0005233824501519609,-0.0008407635240821601,0.4322033898305085,0.0072713646596340165,0.006456697414317407,0.8572369142632745,-1.827862440437203e-05,-0.004606213349901751,0.09547561100901075,-0.04824492141209789,-0.07572511910088997,-0.04818423993438223,0.9616080353729035,0.5191959823135482,-0.12004137999070585,-0.0090103827150666,-0.009141181722348568,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,2023,5.0,0.0,118,118,1.0,94,-0.00023753382108479518,-0.0001735452918762417,0.4915254237288136,0.0066128249169183796,0.006859547267821198,0.931897860034455,-4.631036701919999e-06,-0.0011670212488838398,0.09539886410018876,-0.012233072792755933,-0.017602339712174397,-0.011078028486027751,0.9911700634465974,0.5044149682767013,-0.10488955791502808,-0.0056417834735834616,-0.005723823568584807,1.0,1.0
Logistic,MODEL A - MARKET,2023,5.0,0.0,118,118,1.0,94,-0.0013747137833302083,-0.0004508322158633662,0.4661016949152542,0.0057834100562856984,0.007623869516328222,0.6622632730640859,-0.0005154931091499614,-0.1299042635057903,0.09654030643149406,-1.3455961381060213,-1.635536138591342,-1.2466416559097946,0.2137003696784393,0.8931498151607804,-0.12634723334446918,-0.1250166384581054,-0.12671910649719453,1.0,1.0
Logistic,MODEL B - MARKET + SEC,2023,5.0,0.0,118,118,1.0,94,-0.0003118279787907754,-0.00017709508807056597,0.4915254237288136,0.006511438927898973,0.006907652655257533,0.9112199581785435,-4.988329546791115e-05,-0.01257059045791361,0.09576202907613388,-0.13126904869485995,-0.18594424696556547,-0.11453726945173018,0.9089042075144614,0.5455478962427693,-0.08912623332748526,-0.016862798769213927,-0.017106599182284965,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,2023,5.0,0.0,118,118,1.0,94,-0.0001297798998958786,-4.4840098315012365e-05,0.5,0.006566174482592193,0.006825734282383951,0.961973351283006,-6.919948848715496e-06,-0.001743827109876305,0.09535066874218719,-0.018288567168745634,-0.026029030516076537,-0.015933554110556688,0.9873001604590618,0.5063499197704691,-0.08912623332748526,-0.0062070215053784406,-0.006297254962347676,1.0,1.0
TabNet,TABNET A - MARKET,2023,5.0,0.0,118,118,1.0,94,-0.0006825407623423092,-0.0010325900571615523,0.4661016949152542,0.006562260527172884,0.007007367284934938,0.8175620557815003,-0.0002050211614377266,-0.0516653326823071,0.09627682645012255,-0.5366331087894033,-0.7193634342432098,-0.5596658530624231,0.5762104685556327,0.7118947657221837,-0.12089250540991214,-0.054328564927273004,-0.05509862007168964,1.0,1.0
