Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,0.0,0.0,231,231,1.0,213,0.0012447327267369477,0.0007909263075999151,0.5541125541125541,0.008158021474969399,0.007346538727377165,1.379986433194606,0.00027057498531193983,0.06818489629860884,0.07827461784220471,0.871098424728998,1.4364324392900178,1.6262648410299514,0.10424107095352252,0.05212053547676126,-0.06352367037646556,0.26417060066803555,0.06706642045661293,1.0,1.0,1.0
CatBoost,CAT A - MARKET,Growth,fixed_ex_ante_growth_companies,0.0,0.0,297,297,1.0,248,0.00040117771661831825,0.0008692020855896598,0.5353535353535354,0.00832430014566716,0.008727637255981434,1.0989276010077718,0.00015295950743117063,0.038545795872655,0.09695513049903645,0.3975632405862016,0.5697746884792529,0.82717345643696,0.40835655867930315,0.20417827933965157,-0.1455290227460928,0.12955127695999935,0.0343092671957379,1.0,1.0,1.0
CatBoost,CAT A - MARKET,Momentum,positive_relative_momentum_60d,0.0,0.0,251,251,1.0,222,0.0006679328342320175,0.000876882916013455,0.5617529880478087,0.007882987326119749,0.008580455196278617,1.177624758887498,0.0001946182555250023,0.04904380039230058,0.09103737977499853,0.5387215725399143,0.7872802906121793,1.1465853558359493,0.25185575263872595,0.12592787631936297,-0.07757954854368154,0.1754109536966033,0.04577087630508081,1.0,1.0,1.0
CatBoost,CAT A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.0,95,95,1.0,95,0.0012291697706295422,0.0009666412758597698,0.5578947368421052,0.009404496899126313,0.009087314462949716,1.3059501207658086,0.00012874435304278557,0.03244357696678196,0.06380132266944058,0.5085094729912508,0.8005780116437152,0.9050153927280515,0.36569782761744,0.18284891380872,-0.10794396899468739,0.11568774915719349,0.03077824732532708,1.0,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,0.0,0.0,231,231,1.0,213,0.001200427102162597,0.0004803383925531257,0.5324675324675324,0.00844804430209549,0.007053803597760978,1.3639993877277312,0.00028056118394186036,0.07070141835334881,0.0784670767308476,0.9010329083096084,1.5960387526614739,1.6307033538008704,0.10330048416600496,0.05165024208300248,-0.10288894634580037,0.275631704075993,0.0697365919571038,1.0,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,0.0,0.0,297,297,1.0,248,0.0010518910436677627,0.0011333942733422475,0.5622895622895623,0.008504159594179167,0.00852140778660458,1.2820151929684924,0.000269880966322517,0.06801000351327428,0.09711899480771553,0.7002749940722338,1.0311629781471876,1.288571289821723,0.1978761188367554,0.0989380594183777,-0.10025678677350758,0.2558351817088902,0.06511344571860556,1.0,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Momentum,positive_relative_momentum_60d,0.0,0.0,251,251,1.0,222,0.0011152262925846787,0.000827475514683873,0.549800796812749,0.008461134362363358,0.007855882677587514,1.3153285464530906,0.0003158064523950919,0.07958322600356316,0.09095857349911028,0.8749392491774468,1.3962745017132754,1.6588153057988277,0.09749912846712334,0.04874956423356167,-0.0882348193701259,0.3120423620970849,0.0781059720949624,1.0,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,0.0,0.0,95,95,1.0,95,0.0004831562668928906,-0.00043224925585805263,0.4842105263157895,0.01006527596143921,0.008512303038191409,1.1100444302383046,5.0606224205980824e-05,0.012752768499907167,0.06382902341569892,0.19979576401870172,0.30993248327779266,0.3637394628584363,0.7161374331680727,0.35806871658403633,-0.09657350832325595,0.03935562847819685,0.010746484575655746,1.0,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,0.0,0.0,231,231,1.0,213,0.0022116427469009263,0.0008167337437686162,0.5541125541125541,0.009030506688476738,0.0062622852581641604,1.7920578161624958,0.00047517588939762764,0.11974432412820217,0.07800432458337275,1.535098531623292,2.998687721185159,2.888083371024908,0.003968249788900642,0.001984124894450321,-0.06757721671652284,0.5220156061150263,0.12334838225799194,0.3333329822676539,0.16666649113382695,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,0.0,0.0,297,297,1.0,248,0.0005085283062053635,0.0007047828075209539,0.5353535353535354,0.008424561545375815,0.008612118686751895,1.1270815457226524,4.5828883866432595e-05,0.011548878734341014,0.09718165786408904,0.11883805018527681,0.15834469841669546,0.2223697023669933,0.8240762128279145,0.4120381064139573,-0.16527556305914037,0.024799591682364452,0.006806651244337214,1.0,1.0,1.0
