Model,Mean_Yearly_Accuracy,Mean_Yearly_Balanced_Accuracy,Mean_Yearly_Precision,Mean_Yearly_Recall,Mean_Yearly_F1,Mean_Yearly_ROC_AUC,Mean_Yearly_Brier_Score,Mean_Yearly_Log_Loss,Pooled_Accuracy,Pooled_Balanced_Accuracy,Pooled_Precision,Pooled_Recall,Pooled_F1,Pooled_ROC_AUC,Pooled_Brier_Score,Pooled_Log_Loss
TRANSFORMER A - MARKET SEQUENCE,0.5285581197768612,0.5000015730393638,0.15,0.013392857142857142,0.02459016393442623,0.4995850790324939,0.25157931819558144,0.6963719576597214,0.5323886639676113,0.49894598155467723,0.42857142857142855,0.013043478260869565,0.02531645569620253,0.47490118577075097,0.25140312048412045,0.6960197594634792
TRANSFORMER B - MARKET SEQUENCE + SEC,0.52079729233904,0.4904040404040404,0.19791666666666669,0.03636363636363636,0.0611229566453447,0.49165079769575204,0.2532028295099735,0.6997767835855484,0.5263157894736842,0.4946640316205534,0.4,0.034782608695652174,0.064,0.48618247694334654,0.2525915961448818,0.6985388490828031
TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,0.4913396349413299,0.4701244356534016,0.28601190476190474,0.0750202922077922,0.11545658308110512,0.4457232486678604,0.2555810734629631,0.7045868337154388,0.4959514170040486,0.4690546772068511,0.32727272727272727,0.0782608695652174,0.12631578947368421,0.4408761528326745,0.2548440743842982,0.7030774123103315
