Sequence_Step,Feature,Model_Input_Value,IG_Value,Abs_IG_Value
1,Log_Return_1D_Z60,0.4793963134288788,-4.946228273183806e-06,4.946228273183806e-06
1,Log_Return_5D_Z60,0.5154651403427124,-2.6400735805509612e-05,2.6400735805509612e-05
1,Volatility_14D_Z60,0.3097458481788635,3.8954185583861545e-05,3.8954185583861545e-05
1,Relative_Volume_20D_Z60,-0.3272882401943207,-3.247120912419632e-05,3.247120912419632e-05
1,RSI_14_Scaled,0.8949200510978699,0.00019683358550537378,0.00019683358550537378
1,Price_to_SMA20_Z60,0.04615190625190735,-4.392834398458945e-06,4.392834398458945e-06
1,Intraday_Return_Z60,0.33543163537979126,4.536642154562287e-05,4.536642154562287e-05
1,Daily_Range_Z60,-0.11512848734855652,-1.7849082723842002e-05,1.7849082723842002e-05
1,QQQ_Log_Return_1D,0.5771973133087158,0.00010084096720675007,0.00010084096720675007
1,QQQ_Log_Return_5D,0.5234747529029846,0.00013895596202928573,0.00013895596202928573
1,QQQ_Volatility_14D,-0.1372251659631729,-2.0889403458568268e-05,2.0889403458568268e-05
2,Log_Return_1D_Z60,1.0107020139694214,-3.129248943878338e-05,3.129248943878338e-05
2,Log_Return_5D_Z60,0.1583755910396576,-1.1862232895509806e-05,1.1862232895509806e-05
2,Volatility_14D_Z60,0.46078819036483765,7.268329500220716e-05,7.268329500220716e-05
2,Relative_Volume_20D_Z60,-0.04316586256027222,-5.02335842611501e-06,5.02335842611501e-06
2,RSI_14_Scaled,1.2981401681900024,0.00036704647936858237,0.00036704647936858237
2,Price_to_SMA20_Z60,0.5619795918464661,-7.587495929328725e-05,7.587495929328725e-05
2,Intraday_Return_Z60,0.8934326767921448,0.0001430836709914729,0.0001430836709914729
2,Daily_Range_Z60,-0.3082732856273651,-5.616244743578136e-05,5.616244743578136e-05
2,QQQ_Log_Return_1D,0.9917442202568054,0.000228986275033094,0.000228986275033094
2,QQQ_Log_Return_5D,0.6753327250480652,0.0002510551712475717,0.0002510551712475717
2,QQQ_Volatility_14D,-0.07975532859563828,-1.5524406990152784e-05,1.5524406990152784e-05
3,Log_Return_1D_Z60,-0.21747955679893494,2.5815779736149125e-06,2.5815779736149125e-06
