Feature,Feature_Value_Model_Input,Explain_Weight,Mask_Step_1,Mask_Step_2,Mask_Step_3,Mask_Step_4,Abs_Explain_Weight,Rank
market__Log_Return_5D_Z60,-4.2582297,0.8905304865634597,0.990188479423523,0.0,0.02784806862473488,0.016911588609218597,0.8905304865634597,1
market__Daily_Range_Z60,1.466125,0.011297481962782584,0.007179683074355125,0.0,0.018134087324142456,0.06224653497338295,0.011297481962782584,2
market__RSI_14,-2.3786316,0.010230449335382877,0.0026319397147744894,0.0,0.042083241045475006,0.09639568626880646,0.010230449335382877,3
market__Volatility_14D_Z60,1.6872567,0.008433638581285544,0.0,0.0,0.022981323301792145,0.11117444932460785,0.008433638581285544,4
ticker__Ticker_QCOM,0.0,0.008335343150458844,0.0,1.0,0.022759219631552696,0.013711031526327133,0.008335343150458844,5
binary__Has_EX99,0.0,0.00637036470924305,0.0,0.0,0.03170720860362053,0.07888207584619522,0.00637036470924305,6
sentiment__Mean_Net_Sentiment,-0.5611326,0.006349166794065715,0.0,0.0,0.03500891849398613,0.07740999758243561,0.006349166794065715,7
binary__Has_Item_1_01,0.0,0.006181423106683999,0.0,0.0,0.030199376866221428,0.07674391567707062,0.006181423106683999,8
ticker__Ticker_NFLX,0.0,0.004395668111194646,0.0,0.0,0.03182240575551987,0.050899919122457504,0.004395668111194646,9
market__QQQ_Volatility_14D,-0.7156434,0.004324069816886605,0.0,0.0,0.02730661816895008,0.051489971578121185,0.004324069816886605,10
binary__Has_Item_5_02,0.0,0.0040454964654181354,0.0,0.0,0.022262202575802803,0.04933907091617584,0.0040454964654181354,11
binary__Has_Item_7_01,0.0,0.0036595044379731014,0.0,0.0,0.04335302487015724,0.03638998791575432,0.0036595044379731014,12
market__QQQ_Log_Return_1D,0.22602047,0.003652214611880339,0.0,0.0,0.02585526742041111,0.04249870404601097,0.003652214611880339,13
ticker__Ticker_TSLA,0.0,0.003364026341300178,0.0,0.0,0.021001769229769707,0.040143974125385284,0.003364026341300178,14
market__Price_to_SMA20_Z60,-2.5314481,0.0030535711790076947,0.0,0.0,0.02802298031747341,0.03325854614377022,0.0030535711790076947,15
binary__Has_Sentiment_History,1.0,0.002958412931900921,0.0,0.0,0.04075383394956589,0.027392523363232613,0.002958412931900921,16
ticker__Ticker_GOOGL,0.0,0.002815853033443275,0.0,0.0,0.04513600841164589,0.023819640278816223,0.002815853033443275,17
ticker__Ticker_AMD,0.0,0.0025836707085459924,0.0,0.0,0.03133509308099747,0.025433791801333427,0.0025836707085459924,18
ticker__Ticker_AAPL,0.0,0.0024440021568273595,0.0,0.0,0.03356076776981354,0.02266739495098591,0.0024440021568273595,19
binary__Has_Item_8_01,1.0,0.0018538314678797992,0.0,0.0,0.01566881313920021,0.020668495446443558,0.0018538314678797992,20
sentiment__Sentiment_Momentum_3,-1.0416657,0.001830047257891314,0.0,0.0,0.042416706681251526,0.01083621196448803,0.001830047257891314,21
market__Relative_Volume_20D_Z60,-0.03472702,0.0017375122501981605,0.0,0.0,0.02140861377120018,0.016984937712550163,0.0017375122501981605,22
market__Intraday_Return_Z60,-1.9439851,0.000993979509890708,0.0,0.0,0.033165235072374344,0.002290502190589905,0.000993979509890708,23
ticker__Ticker_NVDA,0.0,0.0009939266825619443,0.0,0.0,0.03961508721113205,0.0,0.0009939266825619443,24
binary__Has_Item_5_03,0.0,0.0009857331811344932,0.0,0.0,0.03928851708769798,0.0,0.0009857331811344932,25
ticker__Ticker_ADBE,0.0,0.0009348654700463878,0.0,0.0,0.037261076271533966,0.0,0.0009348654700463878,26
ticker__Ticker_AVGO,0.0,0.0007605623893431509,0.0,0.0,0.014429357834160328,0.005639137700200081,0.0007605623893431509,27
ticker__Ticker_AMZN,0.0,0.0007501103469727129,0.0,0.0,0.029897261410951614,0.0,0.0007501103469727129,28
binary__Has_Item_5_07,0.0,0.0007108141946609338,0.0,0.0,0.02152416668832302,0.002416498027741909,0.0007108141946609338,29
market__QQQ_Log_Return_5D,0.12293461,0.0006872270944849199,0.0,0.0,0.0273897722363472,4.058003924001241e-07,0.0006872270944849199,30
ticker__Ticker_MSFT,0.0,0.0006818666312007633,0.0,0.0,0.01808716356754303,0.00322706694714725,0.0006818666312007633,31
ticker__Ticker_META,1.0,0.0006586193695759643,0.0,0.0,0.026250692084431648,0.0,0.0006586193695759643,32
binary__Has_Item_2_02,0.0,0.0005465498601678055,0.0,0.0,0.01860710233449936,0.0011277989251539111,0.0005465498601678055,33
ticker__Ticker_INTC,0.0,0.0005403135163199765,0.0,0.0,0.0215353574603796,0.0,0.0005403135163199765,34
market__Log_Return_1D_Z60,-0.615274,0.0003091967799304688,0.0,0.0,0.012323702685534954,0.0,0.0003091967799304688,35
