Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
RSI_14,74.87836128457411,0.6286308282931041,0.6286308282931041,toward_class_1,1
Price_to_SMA20_Z60,1.4406942466240518,-0.31655216804904174,0.31655216804904174,toward_class_0,2
Sentiment_Momentum_3,-0.5047362378187176,0.2903743907364478,0.2903743907364478,toward_class_1,3
Log_Return_1D_Z60,-0.1733214091280741,0.21983375427528676,0.21983375427528676,toward_class_1,4
Has_Item_5_03,1,0.21047957230217418,0.21047957230217418,toward_class_1,5
Daily_Range_Z60,-0.5293672702749181,0.19830970470877743,0.19830970470877743,toward_class_1,6
Intraday_Return_Z60,0.3536076331042483,0.19373275700813983,0.19373275700813983,toward_class_1,7
QQQ_Log_Return_5D,0.0268165000756988,0.1572509146142825,0.1572509146142825,toward_class_1,8
QQQ_Volatility_14D,0.0075312970251099,0.11910726103263888,0.11910726103263888,toward_class_1,9
Relative_Volume_20D_Z60,-0.2549197841986161,0.09430417122816413,0.09430417122816413,toward_class_1,10
QQQ_Log_Return_1D,-0.0008852572840546,-0.08776337547239572,0.08776337547239572,toward_class_0,11
Mean_Net_Sentiment,0.0001662330946601,0.07928719158159465,0.07928719158159465,toward_class_1,12
Volatility_14D_Z60,0.4042612172923631,0.06204371074477453,0.06204371074477453,toward_class_1,13
Has_EX99,0,0.0368645855189419,0.0368645855189419,toward_class_1,14
Has_Item_5_02,0,0.026620724368924115,0.026620724368924115,toward_class_1,15
Has_Item_5_07,0,0.02510630901740346,0.02510630901740346,toward_class_1,16
Has_Item_8_01,0,0.017120004076186576,0.017120004076186576,toward_class_1,17
Log_Return_5D_Z60,1.1637228070211143,-0.012311024652130865,0.012311024652130865,toward_class_0,18
Has_Item_1_01,0,-0.012189805844030965,0.012189805844030965,toward_class_0,19
Has_Sentiment_History,1,-0.006511858517642224,0.006511858517642224,toward_class_0,20
Has_Item_2_02,0,-0.0014376456120902793,0.0014376456120902793,toward_class_0,21
Ticker,NVDA,-0.0012748744899397121,0.0012748744899397121,toward_class_0,22
Has_Item_7_01,0,-0.0006776465764214538,0.0006776465764214538,toward_class_0,23
