Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
market__RSI_14,74.87834294695635,0.7249386310577393,0.7249386310577393,toward_class_1,1
market__QQQ_Log_Return_1D,-0.0008852572250203,-0.2748194634914398,0.2748194634914398,toward_class_0,2
market__Stock_vs_QQQ_1D,-2.4198190686399956e-05,0.24581921100616455,0.24581921100616455,toward_class_1,3
market__Stock_vs_QQQ_3D,0.0187851328466843,0.24377843737602234,0.24377843737602234,toward_class_1,4
market__QQQ_Volatility_14D,0.0075313205400526,-0.2404150515794754,0.2404150515794754,toward_class_0,5
market__Price_to_SMA20,0.1551058090499606,0.23003539443016052,0.23003539443016052,toward_class_1,6
sentiment__Mean_Net_Sentiment,0.0002519882476336,0.2097836434841156,0.2097836434841156,toward_class_1,7
sentiment__Sentiment_Momentum_3,-0.5085044666726856,0.20661625266075134,0.20661625266075134,toward_class_1,8
market__Volatility_14D,0.0344024852591858,0.1298646181821823,0.1298646181821823,toward_class_1,9
market__Daily_Range,0.0303586638386088,0.0823102593421936,0.0823102593421936,toward_class_1,10
market__Intraday_Return,0.0093345902692696,0.07479109615087509,0.07479109615087509,toward_class_1,11
binary__Has_EX99,0.0,0.06950555741786957,0.06950555741786957,toward_class_1,12
market__Relative_Volume_20D,0.8960413357639968,0.053594086319208145,0.053594086319208145,toward_class_1,13
market__QQQ_Log_Return_3D,0.0187290324378212,0.050834231078624725,0.050834231078624725,toward_class_1,14
market__Stock_vs_QQQ_5D,0.0709095091167036,0.012279769405722618,0.012279769405722618,toward_class_1,15
ticker__Ticker_INTC,0.0,0.012030566111207008,0.012030566111207008,toward_class_1,16
binary__Has_Item_8_01,0.0,0.010493006557226181,0.010493006557226181,toward_class_1,17
binary__Has_Item_7_01,0.0,-0.008132296614348888,0.008132296614348888,toward_class_0,18
binary__Has_Event_Guidance,0.0,-0.005775183904916048,0.005775183904916048,toward_class_0,19
market__QQQ_Log_Return_5D,0.0268165667912703,0.004441696219146252,0.004441696219146252,toward_class_1,20
binary__Has_Item_5_02,0.0,-0.0037710946053266525,0.0037710946053266525,toward_class_0,21
ticker__Ticker_GOOGL,0.0,0.0,0.0,neutral,22
ticker__Ticker_AVGO,0.0,0.0,0.0,neutral,23
ticker__Ticker_AMD,0.0,0.0,0.0,neutral,24
ticker__Ticker_AMZN,0.0,0.0,0.0,neutral,25
ticker__Ticker_AAPL,0.0,0.0,0.0,neutral,26
ticker__Ticker_ADBE,0.0,0.0,0.0,neutral,27
ticker__Ticker_TSLA,0.0,0.0,0.0,neutral,28
ticker__Ticker_QCOM,0.0,0.0,0.0,neutral,29
ticker__Ticker_NVDA,1.0,0.0,0.0,neutral,30
ticker__Ticker_NFLX,0.0,0.0,0.0,neutral,31
ticker__Ticker_META,0.0,0.0,0.0,neutral,32
ticker__Ticker_MSFT,0.0,0.0,0.0,neutral,33
binary__Has_Event_Buyback,0.0,0.0,0.0,neutral,34
binary__Has_Event_Earnings,0.0,0.0,0.0,neutral,35
binary__Has_Item_2_03,0.0,0.0,0.0,neutral,36
binary__Has_Item_2_02,0.0,0.0,0.0,neutral,37
binary__Has_Item_2_01,0.0,0.0,0.0,neutral,38
binary__Has_Item_1_02,0.0,0.0,0.0,neutral,39
binary__Has_Item_1_01,0.0,0.0,0.0,neutral,40
binary__Has_Item_5_03,1.0,0.0,0.0,neutral,41
binary__Has_Item_5_07,0.0,0.0,0.0,neutral,42
binary__Has_Sentiment_History,1.0,0.0,0.0,neutral,43
