Sequence_Step,Feature,Model_Input_Value,IG_Value,Abs_IG_Value
1,Log_Return_1D_Z60,0.6700423955917358,-0.002487673657014966,0.002487673657014966
1,Log_Return_5D_Z60,0.8108041286468506,-0.000395230163121596,0.000395230163121596
1,Volatility_14D_Z60,-0.7585198283195496,0.001105558592826128,0.001105558592826128
1,Relative_Volume_20D_Z60,-0.541327714920044,-0.001349484664388001,0.001349484664388001
1,RSI_14_Scaled,0.12558652460575104,-9.368280734634027e-05,9.368280734634027e-05
1,Price_to_SMA20_Z60,0.2907603085041046,-0.002196213463321328,0.002196213463321328
1,Intraday_Return_Z60,1.087946891784668,0.007615531329065561,0.007615531329065561
1,Daily_Range_Z60,-0.6648849844932556,0.0033873601350933313,0.0033873601350933313
1,QQQ_Log_Return_1D,0.22992713749408722,0.0002706481609493494,0.0002706481609493494
1,QQQ_Log_Return_5D,0.4306756854057312,0.0007532887975685298,0.0007532887975685298
1,QQQ_Volatility_14D,-0.5307930707931519,-0.0016488168621435761,0.0016488168621435761
2,Log_Return_1D_Z60,0.015950577333569527,-5.93034565099515e-05,5.93034565099515e-05
2,Log_Return_5D_Z60,0.9202141761779785,-0.00045312553993426263,0.00045312553993426263
2,Volatility_14D_Z60,-0.8203728795051575,0.0011942018754780293,0.0011942018754780293
2,Relative_Volume_20D_Z60,-1.2949678897857666,-0.0032391829881817102,0.0032391829881817102
2,RSI_14_Scaled,0.15041179955005646,-0.00011231898679398,0.00011231898679398
2,Price_to_SMA20_Z60,0.28661048412323,-0.002171008847653866,0.002171008847653866
2,Intraday_Return_Z60,0.26176488399505615,0.0018369231838732958,0.0018369231838732958
2,Daily_Range_Z60,-1.5485780239105225,0.007895599119365215,0.007895599119365215
2,QQQ_Log_Return_1D,0.12618236243724823,0.00014839360665064305,0.00014839360665064305
2,QQQ_Log_Return_5D,1.0783125162124634,0.0018961327150464058,0.0018961327150464058
2,QQQ_Volatility_14D,-0.5277824997901917,-0.001644972595386207,0.001644972595386207
3,Log_Return_1D_Z60,-0.011817616410553455,4.383053237688728e-05,4.383053237688728e-05
3,Log_Return_5D_Z60,0.43065956234931946,-0.00021073919197078794,0.00021073919197078794
3,Volatility_14D_Z60,-0.820505678653717,0.0011946359882131219,0.0011946359882131219
3,Relative_Volume_20D_Z60,-1.021835446357727,-0.002558025997132063,0.002558025997132063
3,RSI_14_Scaled,0.16583780944347382,-0.00012346076255198568,0.00012346076255198568
3,Price_to_SMA20_Z60,0.26898759603500366,-0.0020354262087494135,0.0020354262087494135
3,Intraday_Return_Z60,0.31457260251045227,0.0022077804896980524,0.0022077804896980524
3,Daily_Range_Z60,-1.4142249822616577,0.007214733865112066,0.007214733865112066
3,QQQ_Log_Return_1D,-0.05071244761347771,-5.971736027277075e-05,5.971736027277075e-05
3,QQQ_Log_Return_5D,0.6456920504570007,0.001137363607995212,0.001137363607995212
3,QQQ_Volatility_14D,-0.5345684289932251,-0.0016649164026603103,0.0016649164026603103
4,Log_Return_1D_Z60,-0.1183924600481987,0.00043914277921430767,0.00043914277921430767
4,Log_Return_5D_Z60,0.3344400227069855,-0.00016386102652177215,0.00016386102652177215
4,Volatility_14D_Z60,-0.8705623745918274,0.001267477753572166,0.001267477753572166
4,Relative_Volume_20D_Z60,-0.795682430267334,-0.0019919048063457012,0.0019919048063457012
4,RSI_14_Scaled,0.10098960995674133,-7.565991109004244e-05,7.565991109004244e-05
4,Price_to_SMA20_Z60,0.22274331748485565,-0.0016850422834977508,0.0016850422834977508
4,Intraday_Return_Z60,0.23221920430660248,0.0016304213786497712,0.0016304213786497712
4,Daily_Range_Z60,-1.350809097290039,0.0068942103534936905,0.0068942103534936905
4,QQQ_Log_Return_1D,-0.33440306782722473,-0.0003935733693651855,0.0003935733693651855
4,QQQ_Log_Return_5D,0.1126813143491745,0.00019853403500746936,0.00019853403500746936
4,QQQ_Volatility_14D,-0.5266727805137634,-0.0016402773326262832,0.0016402773326262832
5,Log_Return_1D_Z60,0.057898856699466705,-0.00021495745750144124,0.00021495745750144124
5,Log_Return_5D_Z60,0.280506432056427,-0.00013710443454328924,0.00013710443454328924
5,Volatility_14D_Z60,-0.8699299097061157,0.0012675920734182,0.0012675920734182
5,Relative_Volume_20D_Z60,-0.6821362972259521,-0.0017068787710741162,0.0017068787710741162
5,RSI_14_Scaled,0.1588018387556076,-0.00011902685946552083,0.00011902685946552083
5,Price_to_SMA20_Z60,0.2560710310935974,-0.0019364934414625168,0.0019364934414625168
5,Intraday_Return_Z60,0.5857723355293274,0.004112135153263807,0.004112135153263807
5,Daily_Range_Z60,-1.0245277881622314,0.005227276124060154,0.005227276124060154
5,QQQ_Log_Return_1D,-0.18448792397975922,-0.00021766297868452966,0.00021766297868452966
5,QQQ_Log_Return_5D,-0.10000298917293549,-0.00017584919987712055,0.00017584919987712055
5,QQQ_Volatility_14D,-0.5263187885284424,-0.0016385994385927916,0.0016385994385927916
6,Log_Return_1D_Z60,-0.3586970567703247,0.0013280982384458184,0.0013280982384458184
6,Log_Return_5D_Z60,-0.1809954196214676,8.82137319422327e-05,8.82137319422327e-05
6,Volatility_14D_Z60,-0.9374762773513794,0.001365360920317471,0.001365360920317471
6,Relative_Volume_20D_Z60,-0.5215005278587341,-0.0013106013648211956,0.0013106013648211956
6,RSI_14_Scaled,-0.10576675087213516,7.90212070569396e-05,7.90212070569396e-05
6,Price_to_SMA20_Z60,0.11455205082893372,-0.0008669547969475389,0.0008669547969475389
6,Intraday_Return_Z60,-0.43063220381736755,-0.0030307951383292675,0.0030307951383292675
6,Daily_Range_Z60,-0.8724722266197205,0.004461994860321283,0.004461994860321283
6,QQQ_Log_Return_1D,-0.5386714935302734,-0.0006357881939038634,0.0006357881939038634
6,QQQ_Log_Return_5D,-0.48837485909461975,-0.0008646577480249107,0.0008646577480249107
6,QQQ_Volatility_14D,-0.5148221850395203,-0.0016057448228821158,0.0016057448228821158
7,Log_Return_1D_Z60,-0.8473318219184875,0.0031314408406615257,0.0031314408406615257
7,Log_Return_5D_Z60,-0.5671105980873108,0.0002686016377992928,0.0002686016377992928
7,Volatility_14D_Z60,-0.8338484764099121,0.001220856560394168,0.001220856560394168
7,Relative_Volume_20D_Z60,0.8495441675186157,0.0021518305875360966,0.0021518305875360966
7,RSI_14_Scaled,-0.6908603310585022,0.0005003420519642532,0.0005003420519642532
7,Price_to_SMA20_Z60,-0.23296047747135162,0.0017653206596150994,0.0017653206596150994
7,Intraday_Return_Z60,-1.2280137538909912,-0.008679697290062904,0.008679697290062904
7,Daily_Range_Z60,2.3031065464019775,-0.011846409179270267,0.011846409179270267
7,QQQ_Log_Return_1D,-0.16178534924983978,-0.00019313523080199957,0.00019313523080199957
7,QQQ_Log_Return_5D,-0.6338845491409302,-0.0011261339532211423,0.0011261339532211423
7,QQQ_Volatility_14D,-0.516117513179779,-0.0016141148516908288,0.0016141148516908288
8,Log_Return_1D_Z60,1.2162295579910278,-0.0045104906894266605,0.0045104906894266605
8,Log_Return_5D_Z60,-0.013971277512609959,6.719010798406089e-06,6.719010798406089e-06
8,Volatility_14D_Z60,-0.6958298087120056,0.0010161316022276878,0.0010161316022276878
8,Relative_Volume_20D_Z60,0.6828768849372864,0.001701735774986446,0.001701735774986446
8,RSI_14_Scaled,0.13790534436702728,-0.00010269064659951255,0.00010269064659951255
8,Price_to_SMA20_Z60,0.2993164360523224,-0.002256264677271247,0.002256264677271247
8,Intraday_Return_Z60,1.4430177211761475,0.010097534395754337,0.010097534395754337
8,Daily_Range_Z60,0.5765189528465271,-0.0029392181895673275,0.0029392181895673275
8,QQQ_Log_Return_1D,0.4218405783176422,0.000498665904160589,0.000498665904160589
8,QQQ_Log_Return_5D,-0.3951041102409363,-0.0006887865602038801,0.0006887865602038801
8,QQQ_Volatility_14D,-0.644534707069397,-0.0019988706335425377,0.0019988706335425377
9,Log_Return_1D_Z60,1.392344355583191,-0.0051628402434289455,0.0051628402434289455
9,Log_Return_5D_Z60,0.6714262366294861,-0.0003192352596670389,0.0003192352596670389
9,Volatility_14D_Z60,-0.5707207322120667,0.0008352272561751306,0.0008352272561751306
9,Relative_Volume_20D_Z60,0.8433430194854736,0.0020957430824637413,0.0020957430824637413
9,RSI_14_Scaled,0.8456394672393799,-0.0006213654414750636,0.0006213654414750636
9,Price_to_SMA20_Z60,0.9035518169403076,-0.0068001714535057545,0.0068001714535057545
9,Intraday_Return_Z60,2.7084548473358154,0.018903793767094612,0.018903793767094612
9,Daily_Range_Z60,1.996055006980896,-0.010160026140511036,0.010160026140511036
9,QQQ_Log_Return_1D,0.4714158773422241,0.0005585174658335745,0.0005585174658335745
9,QQQ_Log_Return_5D,0.012075061909854412,2.0893916371278465e-05,2.0893916371278465e-05
9,QQQ_Volatility_14D,-0.6345620155334473,-0.001963394694030285,0.001963394694030285
10,Log_Return_1D_Z60,0.07296527922153473,-0.0002699316246435046,0.0002699316246435046
10,Log_Return_5D_Z60,0.6771891117095947,-0.000326211447827518,0.000326211447827518
10,Volatility_14D_Z60,-0.5806747078895569,0.0008474832284264266,0.0008474832284264266
10,Relative_Volume_20D_Z60,0.22901207208633423,0.0005731191486120224,0.0005731191486120224
10,RSI_14_Scaled,0.894192636013031,-0.0006557271117344499,0.0006557271117344499
10,Price_to_SMA20_Z60,0.8719972968101501,-0.006584279704838991,0.006584279704838991
10,Intraday_Return_Z60,0.6669638752937317,0.0046756938099861145,0.0046756938099861145
10,Daily_Range_Z60,0.08026575297117233,-0.0004091137379873544,0.0004091137379873544
10,QQQ_Log_Return_1D,0.01009313203394413,1.1937047020182945e-05,1.1937047020182945e-05
10,QQQ_Log_Return_5D,0.11039659380912781,0.00019354735559318215,0.00019354735559318215
10,QQQ_Volatility_14D,-0.6344895362854004,-0.0019726555328816175,0.0019726555328816175
11,Log_Return_1D_Z60,0.7770299911499023,-0.0028664199635386467,0.0028664199635386467
11,Log_Return_5D_Z60,1.1725682020187378,-0.0005645670462399721,0.0005645670462399721
11,Volatility_14D_Z60,-0.5711444616317749,0.0008333055302500725,0.0008333055302500725
11,Relative_Volume_20D_Z60,0.10091685503721237,0.0002518005494493991,0.0002518005494493991
11,RSI_14_Scaled,1.2356529235839844,-0.0009046303457580507,0.0009046303457580507
11,Price_to_SMA20_Z60,1.1538968086242676,-0.008696074597537518,0.008696074597537518
11,Intraday_Return_Z60,0.997514545917511,0.006975274998694658,0.006975274998694658
11,Daily_Range_Z60,-0.35038527846336365,0.001782580860890448,0.001782580860890448
11,QQQ_Log_Return_1D,-0.3849368095397949,-0.00045308450353331864,0.00045308450353331864
11,QQQ_Log_Return_5D,0.18807853758335114,0.0003286619612481445,0.0003286619612481445
11,QQQ_Volatility_14D,-0.8277062177658081,-0.0025674914941191673,0.0025674914941191673
12,Log_Return_1D_Z60,0.11477786302566528,-0.00042415893403813243,0.00042415893403813243
12,Log_Return_5D_Z60,1.5767626762390137,-0.0007569386507384479,0.0007569386507384479
12,Volatility_14D_Z60,-0.6480996608734131,0.000946610642131418,0.000946610642131418
12,Relative_Volume_20D_Z60,-0.15956254303455353,-0.00039928799378685653,0.00039928799378685653
12,RSI_14_Scaled,1.3084813356399536,-0.0009469548240303993,0.0009469548240303993
12,Price_to_SMA20_Z60,1.134545922279358,-0.008566007018089294,0.008566007018089294
12,Intraday_Return_Z60,0.8728641271591187,0.006114218849688768,0.006114218849688768
12,Daily_Range_Z60,0.036488667130470276,-0.00018571532564237714,0.00018571532564237714
12,QQQ_Log_Return_1D,0.5403068661689758,0.0006399817648343742,0.0006399817648343742
12,QQQ_Log_Return_5D,0.5428447127342224,0.0009504896588623524,0.0009504896588623524
12,QQQ_Volatility_14D,-0.8820754885673523,-0.0027417547535151243,0.0027417547535151243
13,Log_Return_1D_Z60,-0.25930389761924744,0.0009580404730513692,0.0009580404730513692
13,Log_Return_5D_Z60,0.9106465578079224,-0.0004413762071635574,0.0004413762071635574
13,Volatility_14D_Z60,-0.6145531535148621,0.0008956958190537989,0.0008956958190537989
13,Relative_Volume_20D_Z60,-0.0916074886918068,-0.00022962092771194875,0.00022962092771194875
13,RSI_14_Scaled,1.169001579284668,-0.0008543823496438563,0.0008543823496438563
13,Price_to_SMA20_Z60,0.9533398151397705,-0.007206079550087452,0.007206079550087452
13,Intraday_Return_Z60,0.034254204481840134,0.00024030511849559844,0.00024030511849559844
13,Daily_Range_Z60,-0.9169092774391174,0.004671046510338783,0.004671046510338783
13,QQQ_Log_Return_1D,0.002234417013823986,2.636060344229918e-06,2.636060344229918e-06
13,QQQ_Log_Return_5D,0.3308183252811432,0.0005819933721795678,0.0005819933721795678
13,QQQ_Volatility_14D,-0.9683063626289368,-0.003014759160578251,0.003014759160578251
14,Log_Return_1D_Z60,-0.7976481914520264,0.002946098567917943,0.002946098567917943
14,Log_Return_5D_Z60,-0.029698781669139862,1.4174562238622457e-05,1.4174562238622457e-05
14,Volatility_14D_Z60,-0.4892134666442871,0.0007146670832298696,0.0007146670832298696
14,Relative_Volume_20D_Z60,0.0030006992164999247,7.578303666377906e-06,7.578303666377906e-06
14,RSI_14_Scaled,0.608762800693512,-0.0004377900331746787,0.0004377900331746787
14,Price_to_SMA20_Z60,0.546372652053833,-0.004140112549066544,0.004140112549066544
14,Intraday_Return_Z60,-0.9492146372795105,-0.006690312176942825,0.006690312176942825
14,Daily_Range_Z60,0.7722267508506775,-0.003957650624215603,0.003957650624215603
14,QQQ_Log_Return_1D,-0.1348283439874649,-0.0001601195108378306,0.0001601195108378306
14,QQQ_Log_Return_5D,0.02448396570980549,4.337043355917558e-05,4.337043355917558e-05
14,QQQ_Volatility_14D,-0.974020779132843,-0.003043512115254998,0.003043512115254998
15,Log_Return_1D_Z60,-1.182517170906067,0.004383565858006477,0.004383565858006477
15,Log_Return_5D_Z60,-0.5708069801330566,0.00027625009533949196,0.00027625009533949196
15,Volatility_14D_Z60,-0.33942827582359314,0.0004948964924551547,0.0004948964924551547
15,Relative_Volume_20D_Z60,0.1272142082452774,0.00032107249717228115,0.00032107249717228115
15,RSI_14_Scaled,-0.10579235851764679,7.812614785507321e-05,7.812614785507321e-05
15,Price_to_SMA20_Z60,-0.0039945608004927635,3.029605795745738e-05,3.029605795745738e-05
15,Intraday_Return_Z60,-1.1076992750167847,-0.007816871628165245,0.007816871628165245
15,Daily_Range_Z60,-0.0598469153046608,0.00030703729134984314,0.00030703729134984314
15,QQQ_Log_Return_1D,-0.6832587718963623,-0.0008107574540190399,0.0008107574540190399
