Logit,Baseline_Logit,IG_Sum,Logit_Difference,Completeness_Error
-0.23311013,-0.19387543,-0.039672565,-0.039234698,0.0004378669
-0.02193135,-0.19387543,0.17341357,0.17194408,0.0014694929
-0.13947538,-0.19387543,0.051165678,0.054400057,0.003234379
-0.36274368,-0.19387543,-0.16847354,-0.16886824,0.00039470196
-0.2811702,-0.19387543,-0.086555995,-0.08729476,0.0007387623
-0.24959728,-0.19387543,-0.056532927,-0.05572185,0.00081107765
-0.17640115,-0.19387543,0.017642304,0.017474279,0.0001680255
-0.3549925,-0.19387543,-0.16135794,-0.16111708,0.00024086237
-0.2741647,-0.19387543,-0.081787884,-0.080289274,0.0014986098
-0.3021745,-0.19387543,-0.10920655,-0.10829908,0.00090747327
-0.1839773,-0.19387543,0.00862214,0.009898126,0.0012759864
-0.33626437,-0.19387543,-0.14281589,-0.14238894,0.00042694807
-0.34406957,-0.19387543,-0.14906225,-0.15019414,0.0011318922
-0.465473,-0.19387543,-0.27240694,-0.27159756,0.0008093715
-0.21424766,-0.19387543,-0.02129037,-0.020372227,0.0009181425
-0.23141123,-0.19387543,-0.0406366,-0.0375358,0.0031007975
-0.13943082,-0.19387543,0.053024814,0.05444461,0.0014197975
-0.06346817,-0.19387543,0.12876289,0.13040726,0.0016443729
-0.23785016,-0.19387543,-0.04471849,-0.043974727,0.00074376166
-0.25102443,-0.19387543,-0.05722114,-0.057148993,7.21477e-05
0.015438601,-0.19387543,0.20900136,0.20931403,0.00031267107
-0.27101642,-0.19387543,-0.074334174,-0.07714099,0.0028068125
-0.24585573,-0.19387543,-0.051132604,-0.0519803,0.00084769726
-0.42908323,-0.19387543,-0.23097764,-0.2352078,0.0042301565
-0.36713856,-0.19387543,-0.1747619,-0.17326313,0.0014987737
-0.12769416,-0.19387543,0.06925653,0.06618127,0.003075257
-0.3205766,-0.19387543,-0.12991485,-0.12670118,0.0032136738
-0.2133275,-0.19387543,-0.01718029,-0.019452065,0.0022717752
-0.33625782,-0.19387543,-0.14259735,-0.14238238,0.00021496415
-0.1377443,-0.19387543,0.05508236,0.05613114,0.001048781
-0.42336535,-0.19387543,-0.23141855,-0.22948992,0.0019286275
-0.45608842,-0.19387543,-0.26111475,-0.262213,0.0010982454
-0.24591437,-0.19387543,-0.055946864,-0.052038938,0.0039079264
-0.25265813,-0.19387543,-0.060287356,-0.058782697,0.0015046597
-0.3249518,-0.19387543,-0.13251646,-0.13107637,0.0014400929
-0.3159265,-0.19387543,-0.12296599,-0.12205106,0.0009149313
-0.29589468,-0.19387543,-0.10032986,-0.10201925,0.0016893893
-0.24618366,-0.19387543,-0.05190234,-0.05230823,0.00040589273
-0.24172553,-0.19387543,-0.048044927,-0.047850102,0.00019482523
-0.24479271,-0.19387543,-0.049199194,-0.050917283,0.001718089
-0.30901513,-0.19387543,-0.11648035,-0.11513969,0.0013406575
-0.18421435,-0.19387543,0.010110885,0.009661078,0.00044980645
-0.30415016,-0.19387543,-0.10843074,-0.11027473,0.0018439889
-0.2434523,-0.19387543,-0.050355945,-0.049576864,0.00077908114
-0.36011362,-0.19387543,-0.16443613,-0.16623819,0.001802057
-0.06068936,-0.19387543,0.13165538,0.13318607,0.001530692
-0.3284108,-0.19387543,-0.13630874,-0.13453537,0.0017733723
-0.45857567,-0.19387543,-0.26353472,-0.26470023,0.0011655092
-0.11084664,-0.19387543,0.0820369,0.08302879,0.0009918958
0.045533463,-0.19387543,0.24150947,0.2394089,0.002100572
-0.41273296,-0.19387543,-0.22026736,-0.21885753,0.0014098287
-0.13563086,-0.19387543,0.05800796,0.05824457,0.00023661181
-0.13052258,-0.19387543,0.061456982,0.06335285,0.001895871
-0.17331776,-0.19387543,0.02089985,0.020557672,0.0003421791
-0.1311952,-0.19387543,0.066156715,0.06268023,0.0034764856
-0.22447293,-0.19387543,-0.02888313,-0.030597493,0.0017143637
-0.34945118,-0.19387543,-0.1556024,-0.15557575,2.6643276e-05
-0.29302537,-0.19387543,-0.10223264,-0.09914994,0.0030827
-0.288602,-0.19387543,-0.09581407,-0.09472656,0.0010875091
-0.21301204,-0.19387543,-0.019191774,-0.019136608,5.516596e-05
-0.12359082,-0.19387543,0.07409172,0.07028461,0.0038071051
-0.3285722,-0.19387543,-0.13350621,-0.13469678,0.001190573
-0.08311428,-0.19387543,0.11245595,0.11076115,0.0016947985
-0.14703813,-0.19387543,0.049168587,0.0468373,0.0023312867
-0.14057828,-0.19387543,0.051123347,0.053297147,0.0021738
-0.1330357,-0.19387543,0.062232755,0.060839728,0.0013930276
-0.10477747,-0.19387543,0.09503381,0.08909796,0.0059358478
-0.1372656,-0.19387543,0.055454448,0.05660984,0.0011553913
-0.18084757,-0.19387543,0.013324842,0.013027862,0.00029698014
-0.1269423,-0.19387543,0.066069424,0.066933125,0.0008637011
0.05438669,-0.19387543,0.2490796,0.24826212,0.0008174777
-0.1611134,-0.19387543,0.031949967,0.032762036,0.0008120686
-0.13475324,-0.19387543,0.0599785,0.05912219,0.00085631013
-0.073285356,-0.19387543,0.121878885,0.120590076,0.0012888089
-0.0901527,-0.19387543,0.105750255,0.10372273,0.0020275265
-0.15054561,-0.19387543,0.044538643,0.04332982,0.0012088232
-0.1707342,-0.19387543,0.022098586,0.023141235,0.0010426491
0.032628506,-0.19387543,0.22637205,0.22650394,0.00013189018
-0.14635219,-0.19387543,0.047833078,0.047523245,0.0003098324
-0.3968277,-0.19387543,-0.20155506,-0.20295227,0.0013972074
-0.09791474,-0.19387543,0.09577904,0.09596069,0.0001816526
-0.028210342,-0.19387543,0.16564639,0.16566509,1.8700957e-05
-0.17016232,-0.19387543,0.022115057,0.023713112,0.0015980545
-0.24033155,-0.19387543,-0.044861473,-0.046456113,0.0015946403
-0.2814243,-0.19387543,-0.084897734,-0.08754888,0.0026511475
-0.18056457,-0.19387543,0.013481414,0.013310865,0.00017054938
0.009988457,-0.19387543,0.20450911,0.20386389,0.0006452203
-0.22673604,-0.19387543,-0.033397492,-0.032860607,0.0005368851
-0.22771642,-0.19387543,-0.036178928,-0.033840984,0.0023379438
-0.16622987,-0.19387543,0.034294643,0.027645558,0.0066490844
-0.15696388,-0.19387543,0.04011152,0.036911547,0.0031999722
-0.34955043,-0.19387543,-0.15589231,-0.155675,0.00021731853
-0.2979802,-0.19387543,-0.103373185,-0.10410476,0.0007315725
-0.22207579,-0.19387543,-0.029003266,-0.028200358,0.0008029081
-0.32894546,-0.19387543,-0.13104296,-0.13507003,0.0040270686
-0.23445427,-0.19387543,-0.037558317,-0.040578842,0.003020525
-0.13780427,-0.19387543,0.05746931,0.056071162,0.0013981462
-0.40329316,-0.19387543,-0.2075402,-0.20941773,0.0018775314
-0.28799096,-0.19387543,-0.09191811,-0.094115525,0.0021974146
-0.17400557,-0.19387543,0.020306606,0.019869864,0.00043674186
-0.19324473,-0.19387543,-0.0009967238,0.00063070655,0.0016274303
-0.22352272,-0.19387543,-0.029404692,-0.02964729,0.00024259835
-0.4092492,-0.19387543,-0.2144241,-0.21537375,0.000949651
-0.13462052,-0.19387543,0.05847417,0.059254915,0.00078074634
-0.05088315,-0.19387543,0.14548832,0.14299229,0.002496034
-0.2509752,-0.19387543,-0.05751297,-0.05709976,0.0004132092
-0.11383656,-0.19387543,0.07782945,0.080038875,0.002209425
