XAI_Example_Type,Ticker,Accession,Event_Session,Test_Year,Target_Tradable_Abnormal_1D,XAI_Prediction,XAI_Probability
true_positive,AAPL,0001140361-25-044561,2025-12-08,2025,1,1,0.6082365
true_negative,META,0001628280-26-028364,2026-04-30,2026,0,0,0.33676726
false_positive,MSFT,0001193125-25-154103,2025-07-02,2025,0,1,0.6356865
false_negative,AMZN,0001018724-26-000002,2026-02-06,2026,1,0,0.32659593
