Sequence_Step,Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
1,Log_Return_1D_Z60,0.0032659529242664576,0.0001571905886521563,0.5046728971962616,0.4953271028037383
1,Log_Return_5D_Z60,0.0006744035053998232,-1.3265854477140238e-06,0.4392523364485981,0.5607476635514018
1,Volatility_14D_Z60,0.0011000708909705281,-0.00022400634770747274,0.5327102803738317,0.4672897196261682
1,Relative_Volume_20D_Z60,0.0006714175106026232,-4.0742525015957654e-05,0.45794392523364486,0.5420560747663551
1,RSI_14_Scaled,0.00645392807200551,-0.0003775582881644368,0.4205607476635514,0.5794392523364486
1,Price_to_SMA20_Z60,0.0036499775014817715,4.792329127667472e-05,0.5607476635514018,0.4392523364485981
1,Intraday_Return_Z60,0.0021573584526777267,0.000359431782271713,0.5327102803738317,0.4672897196261682
1,Daily_Range_Z60,0.002068128203973174,-0.00030266455723904073,0.5327102803738317,0.4672897196261682
1,QQQ_Log_Return_1D,0.0008842640090733767,-0.0003179120540153235,0.3925233644859813,0.6074766355140186
1,QQQ_Log_Return_5D,0.000844975293148309,-0.00015086492931004614,0.5046728971962616,0.4953271028037383
1,QQQ_Volatility_14D,0.001514785923063755,-0.0010410248069092631,0.18691588785046728,0.8130841121495327
2,Log_Return_1D_Z60,0.0031420656014233828,0.0005525924498215318,0.5046728971962616,0.4953271028037383
2,Log_Return_5D_Z60,0.0005307826795615256,-5.7430715969530866e-05,0.3925233644859813,0.6074766355140186
2,Volatility_14D_Z60,0.0011599778663367033,-0.00021552832913585007,0.5607476635514018,0.4392523364485981
2,Relative_Volume_20D_Z60,0.0008808616548776627,0.00013145661796443164,0.42990654205607476,0.5700934579439252
2,RSI_14_Scaled,0.006802313029766083,-0.0006159153999760747,0.4205607476635514,0.5794392523364486
2,Price_to_SMA20_Z60,0.00366030796431005,0.0003353040083311498,0.5794392523364486,0.4205607476635514
2,Intraday_Return_Z60,0.002365048276260495,-6.606421811738983e-05,0.4953271028037383,0.5046728971962616
2,Daily_Range_Z60,0.001873874687589705,-0.00024780837702564895,0.5514018691588785,0.4485981308411215
2,QQQ_Log_Return_1D,0.000965339713729918,1.566449282108806e-05,0.48598130841121495,0.514018691588785
