Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
A,2023,Relative_Volume_20D,0.5057720057720058,0.015929292929292925,0.012949172517836349,0.5616161616161617,0.056421356421356476,0.03882012252416792,100,1
A,2023,Ticker,0.5057720057720058,0.009901875901875903,0.021821155574326637,0.5616161616161617,0.030375180375180437,0.03357413114379446,100,2
A,2023,RSI_14,0.5057720057720058,0.019463203463203457,0.014975328585040948,0.5616161616161617,0.025627705627705687,0.027919461128217023,100,3
A,2023,Daily_Range,0.5057720057720058,0.0073059163059163,0.012678681234993727,0.5616161616161617,0.01655555555555561,0.01655571685570444,100,4
A,2023,Volatility_14D,0.5057720057720058,0.005265512265512259,0.010252000495912333,0.5616161616161617,0.01603463203463209,0.011689963132593453,100,5
A,2023,Intraday_Return,0.5057720057720058,-0.0005411255411255312,0.014528188998905914,0.5616161616161617,0.013823953823953876,0.024755595264876598,100,6
A,2023,QQQ_Log_Return_3D,0.5057720057720058,0.0006551226551226557,0.017208605941382786,0.5616161616161617,0.01133044733044739,0.01822254401290878,100,7
A,2023,Stock_vs_QQQ_5D,0.5057720057720058,-0.0037272727272727175,0.014349712502436192,0.5616161616161617,0.004051948051948115,0.015522150905266912,100,8
A,2023,Stock_vs_QQQ_3D,0.5057720057720058,0.01753968253968254,0.014113102481794142,0.5616161616161617,-0.0011313131313130653,0.017091635855649996,100,9
A,2023,QQQ_Log_Return_1D,0.5057720057720058,-0.008324675324675321,0.015869844596989063,0.5616161616161617,-0.0036248196248195607,0.014799719496409772,100,10
A,2023,QQQ_Volatility_14D,0.5057720057720058,0.007076479076479067,0.007996398279419739,0.5616161616161617,-0.01161038961038955,0.007688773437533704,100,11
A,2023,Price_to_SMA20,0.5057720057720058,0.0005050505050505105,0.011317253795115929,0.5616161616161617,-0.01631168831168825,0.01728409026289308,100,12
A,2023,Stock_vs_QQQ_1D,0.5057720057720058,-0.008240981240981233,0.0147805585132741,0.5616161616161617,-0.017200577200577147,0.019192779471971875,100,13
A,2023,QQQ_Log_Return_5D,0.5057720057720058,-0.003291486291486286,0.016553453304933748,0.5616161616161617,-0.031714285714285646,0.01850072465041134,100,14
B,2023,Stock_vs_QQQ_1D,0.5226551226551226,0.017564213564213515,0.009859476988529785,0.5102453102453102,0.05075036075036068,0.028564121347178385,100,1
