Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
C,Has_Item_1_01,0.0011103141045001462,0.006604772306211689,0.00025296141514218333,0.009916080010463091,2,3,4,1.0,0.75,0.5
C,Has_Item_1_02,0.00016913263058923418,0.0007189222136150863,0.00017904071864829115,0.008934678104248072,2,1,4,1.0,0.25,0.5
C,Has_Sentiment_History,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Intraday_Return,0.011789479299251407,0.01946692834811255,-1.9041435504776145e-05,0.019702591055029577,3,2,4,1.0,0.5,0.75
C,Has_Event_Earnings,0.0006852711717615098,0.01857865475992035,-0.0011476427967680902,0.014442743094025294,2,1,4,1.0,0.25,0.5
C,QQQ_Log_Return_5D,0.0008606341618306868,0.013799160319759253,-0.0014440872708755647,0.012543541610150116,2,1,4,1.0,0.25,0.5
C,Has_Item_5_07,0.0010658035512037798,0.003683375195171152,-0.002068015881255595,0.009284021764775987,3,1,4,1.0,0.25,0.75
C,QQQ_Log_Return_3D,0.003528016430321241,0.007506700580453746,-0.0034566566419115103,0.013322315708529845,3,2,4,1.0,0.5,0.75
C,Has_Item_7_01,-0.00187100575342893,0.004026799485443551,-0.0038560006432981865,0.014796177594286215,2,2,4,1.0,0.5,0.5
C,QQQ_Volatility_14D,-0.0013198602511829299,0.010714144088573713,-0.004369685430329619,0.010030017642135045,2,1,4,1.0,0.25,0.5
C,Stock_vs_QQQ_1D,0.0011885317827359876,0.020577527539909424,-0.004744454867702881,0.026375877058031426,2,3,4,1.0,0.75,0.5
C,Has_Item_2_02,-0.005540605426895922,0.012649609958483262,-0.004942542415133764,0.003371306433406686,1,0,4,1.0,0.0,0.25
C,Has_Item_2_03,-0.004621843247076835,0.009781169746128034,-0.005371150997396841,0.010298843791455715,2,2,4,1.0,0.5,0.5
C,Sentiment_Momentum_3,0.009605544330796089,0.012502508928515961,-0.005473476290401625,0.017914141227134535,3,2,4,1.0,0.5,0.75
C,Has_Item_8_01,-0.008095762760045876,0.01238721185181321,-0.00594793904502426,0.009395532580244849,1,1,4,1.0,0.25,0.25
C,Volatility_14D,-0.0021930076977055846,0.022584810998388136,-0.0065218102937748285,0.01653107590103351,2,1,4,1.0,0.25,0.5
C,Has_EX99,-0.002021208671761522,0.006444428158327336,-0.007329532495697353,0.00605179129345017,2,0,4,1.0,0.0,0.5
C,Mean_Net_Sentiment,0.0036710047159720046,0.010393994507294857,-0.007361592311343127,0.019607500826632835,2,2,4,1.0,0.5,0.5
C,Has_Event_Buyback,-0.004694396036030684,0.010273074355433485,-0.0076784316340612925,0.009856817771848214,2,0,4,1.0,0.0,0.5
C,RSI_14,-0.0046086139111211856,0.018694754082443407,-0.00908050890370241,0.01651883670987565,3,0,4,1.0,0.0,0.75
C,Price_to_SMA20,-0.008105091145646073,0.016530648068793667,-0.009359690506752377,0.010398474531988906,2,1,4,1.0,0.25,0.5
C,Stock_vs_QQQ_3D,-0.00030231528173285845,0.01848078526924213,-0.009918962442711392,0.008180566722935883,3,1,4,1.0,0.25,0.75
C,Stock_vs_QQQ_5D,-0.0025264403385120843,0.020897572160245684,-0.015695596040345296,0.02092860461861499,2,1,4,1.0,0.25,0.5
C,Ticker,-0.0002905715878229482,0.02562309900406733,-0.029278144352129495,0.024673974005973626,3,1,4,1.0,0.25,0.75
