Variant,Feature,Mean_Importance,Std_Importance_Across_Folds,N_Folds,Presence_Rate
C,market__QQQ_Log_Return_1D,0.02632767152302174,0.008522549348735272,4,1.0
C,binary__Has_Item_5_02,0.026303786968862097,0.015431001142229908,4,1.0
C,binary__Has_Item_5_03,0.026024745726969882,0.013255783913248739,4,1.0
C,ticker__Ticker_INTC,0.025689886884920885,0.0063450593131211975,4,1.0
C,ticker__Ticker_TSLA,0.02487200515186002,0.010174432724204917,4,1.0
C,ticker__Ticker_QCOM,0.024856833641273536,0.01327407971367534,4,1.0
C,binary__Has_Event_Earnings,0.024053391236382622,0.010469247090241112,4,1.0
C,ticker__Ticker_AMZN,0.02378976412961496,0.014308735648831486,4,1.0
C,binary__Has_Event_Buyback,0.023211434222412848,0.003606800800291996,4,1.0
C,market__Stock_vs_QQQ_5D,0.023163329972184607,0.011278603023056397,4,1.0
C,ticker__Ticker_META,0.02305697019927142,0.010283889065361852,4,1.0
C,binary__Has_Item_1_02,0.02303535583455873,0.012014701391478892,4,1.0
C,ticker__Ticker_AVGO,0.02119677530777137,0.003433869797827973,4,1.0
C,ticker__Ticker_NFLX,0.020883162872747295,0.009501881710901014,4,1.0
C,market__QQQ_Log_Return_5D,0.02044416014262705,0.005004968979895712,4,1.0
C,market__QQQ_Log_Return_3D,0.020433625280633028,0.0224705353314285,4,1.0
C,market__Stock_vs_QQQ_3D,0.020251724819818823,0.00619706968347037,4,1.0
C,binary__Has_Item_2_01,0.020212423839237235,0.008261156305444484,3,0.75
C,market__RSI_14,0.020189088369481745,0.006637214844552756,4,1.0
C,binary__Has_Item_5_07,0.018973428386798222,0.006423654656479416,4,1.0
C,binary__Has_Item_2_02,0.01827710593689595,0.005821092597491112,4,1.0
C,ticker__Ticker_AMD,0.018157177506706295,0.008436877549710602,4,1.0
C,ticker__Ticker_ADBE,0.018103279217611422,0.006123997211100474,4,1.0
C,binary__Has_Item_2_03,0.018017205427586773,0.006590733521545939,4,1.0
C,market__Daily_Range,0.017724975481352157,0.0059697972754886525,4,1.0
C,market__QQQ_Volatility_14D,0.01767051276460739,0.0035106358376406246,4,1.0
C,binary__Has_Event_Guidance,0.017535840979174502,0.009091207705194376,4,1.0
C,market__Intraday_Return,0.017528763545226783,0.007268915219584626,4,1.0
C,binary__Has_Sentiment_History,0.017277991637799566,0.00723719575170594,4,1.0
C,ticker__Ticker_NVDA,0.015449228222805518,0.0055157509867422875,4,1.0
