Variant,Test_Year,Feature,Mean_Explain_Weight,Std_Explain_Weight,Mean_Mask_Step_1,Mean_Mask_Step_2,Mean_Mask_Step_3,Mean_Mask_Step_4,Rank
A,2023,market__Stock_vs_QQQ_1D,0.06461205227233344,0.07505547789664221,0.07960254379534074,0.05440260347159445,0.052390761062763316,0.04779300575275953,1
A,2023,ticker__Ticker_ADBE,0.05608563051559582,0.05948330129056322,0.08205082153697238,0.016767746627396017,0.02476662741764427,0.08603649970807394,2
A,2023,market__Intraday_Return,0.053128545702837704,0.03173837333218042,0.024999141284675036,0.1176147380206434,0.03517590269967837,0.03492229610307377,3
A,2023,ticker__Ticker_MSFT,0.04986592086564869,0.04422179106256649,0.06523298864278516,0.02779705955778122,0.03202293444226567,0.060477325515190174,4
A,2023,market__Relative_Volume_20D,0.046823098298748686,0.07440331113336997,0.06462181095948681,0.01626181943738167,0.03404623482622433,0.021448206958936327,5
A,2023,ticker__Ticker_NVDA,0.04659199088014209,0.03787437697255376,0.04042387935392765,0.010679710993164178,0.08725023729069925,0.06281497389435402,6
A,2023,market__Daily_Range,0.044218531104788246,0.03904599435327057,0.05269183343410459,0.06382189588956692,0.021401073335062516,0.01651280437744259,7
A,2023,ticker__Ticker_TSLA,0.04406433499599079,0.03759259692019643,0.07099388518678498,0.017765868443099585,0.04038991391046123,0.042804191646687056,8
A,2023,ticker__Ticker_AMZN,0.042299349374634566,0.03153776111081195,0.035678197850494926,0.04930908457642653,0.055543195933273254,0.04470422580201388,9
A,2023,ticker__Ticker_NFLX,0.041418926730800616,0.0482679894899868,0.03235089108284999,0.03159218679848216,0.0427806987536931,0.04985951068633536,10
A,2023,market__QQQ_Log_Return_1D,0.040064979441856066,0.04128594895345635,0.07427571314435412,0.025604447718983542,0.038025769820043194,0.02424308717712909,11
A,2023,market__RSI_14,0.03955385528586024,0.04086915589370193,0.024990733327455418,0.05865149588523417,0.048014567111780614,0.021642439344651716,12
A,2023,ticker__Ticker_AAPL,0.03854893707899262,0.03747657291290625,0.06000936537231987,0.011055601169542663,0.0616192066498624,0.0435026597154674,13
A,2023,ticker__Ticker_AVGO,0.03661887008127664,0.03543021472527808,0.04153443107399221,0.023014353518423594,0.023719186034486292,0.04942593211150694,14
A,2023,ticker__Ticker_META,0.0348551744988924,0.023871765202634135,0.03757927468142058,0.02886830501955632,0.019128210944873606,0.06392284131202436,15
A,2023,market__QQQ_Log_Return_3D,0.033819815674648084,0.03298694938701178,0.025583999595502234,0.0560030349297449,0.02050210344025907,0.018083139050858225,16
A,2023,market__QQQ_Log_Return_5D,0.03220719898849932,0.022574025583048166,0.011698129798217343,0.007986762266937803,0.059418436116545105,0.07157167764270818,17
A,2023,market__Price_to_SMA20,0.031983411623388705,0.023518470010301877,0.01795615715179908,0.06585573721186343,0.03439387034992806,0.02358962832091354,18
