Feature,Model_Input_Value,Coefficient_Log_Odds,Log_Odds_Contribution,Abs_Log_Odds_Contribution,Direction,Rank
numeric__Stock_vs_QQQ_1D,8.917756638897917,-0.17674419901411534,-1.5761617541448216,1.5761617541448216,toward_class_0,1
categorical__Ticker_INTC,1.0,-0.9509119267060401,-0.9509119267060401,0.9509119267060401,toward_class_0,2
numeric__Stock_vs_QQQ_5D,3.5612458832797556,-0.2227863152351108,-0.7933968479821042,0.7933968479821042,toward_class_0,3
binary__Has_Sentiment_History,1.0,-0.47770502940911796,-0.47770502940911796,0.47770502940911796,toward_class_0,4
numeric__Daily_Range,1.7709863381724884,-0.2268829047593802,-0.40180652469375217,0.40180652469375217,toward_class_0,5
numeric__QQQ_Log_Return_1D,1.0445451844456055,-0.3542311734379817,-0.3700104663951599,0.3700104663951599,toward_class_0,6
numeric__Volatility_14D,2.5446983558705885,0.13342678960512924,0.3395309321372633,0.3395309321372633,toward_class_1,7
numeric__RSI_14,2.3833463746886254,0.11018728080897007,0.26261445625285634,0.26261445625285634,toward_class_1,8
sentiment__Mean_Net_Sentiment,-0.7019126002958519,0.16010603605900992,-0.11238044409324108,0.11238044409324108,toward_class_0,9
binary__Has_Item_5_02,1.0,0.09940179045075619,0.09940179045075619,0.09940179045075619,toward_class_1,10
numeric__QQQ_Log_Return_3D,1.0978486738018165,-0.06946067513449251,-0.07625731007778142,0.07625731007778142,toward_class_0,11
numeric__QQQ_Log_Return_5D,0.609750615314722,0.1202965136230714,0.07335087320188362,0.07335087320188362,toward_class_1,12
numeric__Relative_Volume_20D,1.9964219399634702,-0.03194910924224018,-0.06378390265349798,0.06378390265349798,toward_class_0,13
numeric__QQQ_Volatility_14D,-0.4898257547737818,0.11587189982329099,-0.05675704078801554,0.05675704078801554,toward_class_0,14
numeric__Price_to_SMA20,5.503608813830777,-0.006935174815506429,-0.038168489240078415,0.038168489240078415,toward_class_0,15
sentiment__Sentiment_Momentum_3,-0.39035849733986927,-0.07551960372768014,0.02947971903083961,0.02947971903083961,toward_class_1,16
numeric__Intraday_Return,0.1203449324740292,0.23920082342393537,0.028786606942685686,0.028786606942685686,toward_class_1,17
numeric__Stock_vs_QQQ_3D,5.404254156742491,-0.001719766338322797,-0.00929405438250679,0.00929405438250679,toward_class_0,18
categorical__Ticker_GOOGL,0.0,-0.5262348574592015,-0.0,0.0,neutral,19
categorical__Ticker_META,0.0,-0.37344678333963005,-0.0,0.0,neutral,20
categorical__Ticker_MSFT,0.0,0.04930351115666471,0.0,0.0,neutral,21
categorical__Ticker_NFLX,0.0,-0.447016611520545,-0.0,0.0,neutral,22
categorical__Ticker_AMD,0.0,-0.6247716919200983,-0.0,0.0,neutral,23
categorical__Ticker_AMZN,0.0,-0.6017097329941622,-0.0,0.0,neutral,24
categorical__Ticker_AVGO,0.0,-0.37572783735106363,-0.0,0.0,neutral,25
categorical__Ticker_ADBE,0.0,-0.14025984761581137,-0.0,0.0,neutral,26
binary__Has_EX99,0.0,-0.48123072183965604,-0.0,0.0,neutral,27
categorical__Ticker_TSLA,0.0,-0.08207077930441002,-0.0,0.0,neutral,28
categorical__Ticker_QCOM,0.0,-0.0858950397701145,-0.0,0.0,neutral,29
categorical__Ticker_NVDA,0.0,-0.27988726250092116,-0.0,0.0,neutral,30
binary__Has_Event_Earnings,0.0,-0.38606546900618177,-0.0,0.0,neutral,31
binary__Has_Event_Guidance,0.0,0.46198162590567116,0.0,0.0,neutral,32
binary__Has_Event_Buyback,0.0,0.14686893064429768,0.0,0.0,neutral,33
binary__Has_Item_1_01,0.0,0.6355484246219781,0.0,0.0,neutral,34
binary__Has_Item_2_03,0.0,-0.22402043589674214,-0.0,0.0,neutral,35
binary__Has_Item_2_02,0.0,-0.13768658347417007,-0.0,0.0,neutral,36
binary__Has_Item_2_01,0.0,0.24218052941137144,0.0,0.0,neutral,37
binary__Has_Item_1_02,0.0,-0.2916537210780352,-0.0,0.0,neutral,38
binary__Has_Item_7_01,0.0,0.4896314761538546,0.0,0.0,neutral,39
binary__Has_Item_5_07,0.0,-0.17221129906290733,-0.0,0.0,neutral,40
binary__Has_Item_5_03,0.0,0.42016143610495366,0.0,0.0,neutral,41
binary__Has_Item_8_01,0.0,0.0651945005891322,0.0,0.0,neutral,42
