Year,Target_0,Target_1,Total,Target_1_Ratio
2020,87,78,165,0.4727272727272727
2021,84,64,148,0.43243243243243246
2022,75,65,140,0.4642857142857143
2023,61,60,121,0.49586776859504134
2024,65,58,123,0.4715447154471545
2025,88,63,151,0.41721854304635764
2026,61,46,107,0.42990654205607476
