Node,Feature,Model_Input_Value,Threshold,Decision,Next_Node
0,numeric__QQQ_Log_Return_1D,0.0033523223711708,-0.007366756675764918,>,10.0
10,numeric__RSI_14,70.05575226272092,68.23184204101562,>,18.0
18,numeric__Relative_Volume_20D,0.949312393978513,1.5542431473731995,<=,19.0
19,numeric__QQQ_Volatility_14D,0.0087462685912162,0.009307305328547955,<=,20.0
20,,,,leaf,
