Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
market__RSI_14,67.29245034006377,0.31669390201568604,0.31669390201568604,toward_class_1,1
sentiment__Mean_Net_Sentiment,-0.0977886747797099,0.2660285532474518,0.2660285532474518,toward_class_1,2
market__Stock_vs_QQQ_1D,-0.043408796626162,0.20752044022083282,0.20752044022083282,toward_class_1,3
market__Relative_Volume_20D,0.6204599543104157,0.20628228783607483,0.20628228783607483,toward_class_1,4
market__QQQ_Log_Return_1D,-0.0152026334230975,0.18730396032333374,0.18730396032333374,toward_class_1,5
market__Stock_vs_QQQ_5D,-0.0675066258992433,0.1778012216091156,0.1778012216091156,toward_class_1,6
market__Price_to_SMA20,0.1409370827944269,0.16314834356307983,0.16314834356307983,toward_class_1,7
binary__Has_Item_1_01,1.0,0.15497900545597076,0.15497900545597076,toward_class_1,8
market__QQQ_Log_Return_5D,-0.0032390027972698,0.1488574594259262,0.1488574594259262,toward_class_1,9
market__QQQ_Volatility_14D,0.0111533754911273,-0.11702495068311691,0.11702495068311691,toward_class_0,10
market__Volatility_14D,0.0634100187285561,0.10817676782608032,0.10817676782608032,toward_class_1,11
market__QQQ_Log_Return_3D,0.0023867577961651,-0.10339146107435226,0.10339146107435226,toward_class_0,12
market__Stock_vs_QQQ_3D,-0.0578578304064893,0.08504191786050797,0.08504191786050797,toward_class_1,13
sentiment__Sentiment_Momentum_3,-0.5196818237840594,0.07676683366298676,0.07676683366298676,toward_class_1,14
market__Intraday_Return,-0.0213227265252715,-0.07225459814071655,0.07225459814071655,toward_class_0,15
ticker__Ticker_INTC,0.0,0.047934260219335556,0.047934260219335556,toward_class_1,16
ticker__Ticker_MSFT,0.0,-0.017336810007691383,0.017336810007691383,toward_class_0,17
market__Daily_Range,0.0368781287982816,0.01713540032505989,0.01713540032505989,toward_class_1,18
binary__Has_Item_2_02,0.0,0.00894663855433464,0.00894663855433464,toward_class_1,19
binary__Has_Item_7_01,0.0,-0.00796761829406023,0.00796761829406023,toward_class_0,20
binary__Has_Event_Guidance,0.0,-0.0070669986307621,0.0070669986307621,toward_class_0,21
binary__Has_EX99,0.0,0.005582082085311413,0.005582082085311413,toward_class_1,22
binary__Has_Item_8_01,0.0,0.0047421823255717754,0.0047421823255717754,toward_class_1,23
ticker__Ticker_GOOGL,0.0,0.004374270793050528,0.004374270793050528,toward_class_1,24
binary__Has_Item_5_02,1.0,0.003619113005697727,0.003619113005697727,toward_class_1,25
ticker__Ticker_ADBE,0.0,0.0,0.0,neutral,26
ticker__Ticker_AAPL,0.0,0.0,0.0,neutral,27
ticker__Ticker_TSLA,0.0,0.0,0.0,neutral,28
ticker__Ticker_QCOM,0.0,0.0,0.0,neutral,29
ticker__Ticker_NVDA,0.0,0.0,0.0,neutral,30
ticker__Ticker_NFLX,0.0,0.0,0.0,neutral,31
ticker__Ticker_META,0.0,0.0,0.0,neutral,32
ticker__Ticker_AMD,1.0,0.0,0.0,neutral,33
ticker__Ticker_AMZN,0.0,0.0,0.0,neutral,34
ticker__Ticker_AVGO,0.0,0.0,0.0,neutral,35
binary__Has_Item_2_03,1.0,0.0,0.0,neutral,36
binary__Has_Item_2_01,0.0,0.0,0.0,neutral,37
binary__Has_Item_1_02,1.0,0.0,0.0,neutral,38
binary__Has_Event_Buyback,0.0,0.0,0.0,neutral,39
binary__Has_Event_Earnings,0.0,0.0,0.0,neutral,40
binary__Has_Item_5_03,0.0,0.0,0.0,neutral,41
binary__Has_Item_5_07,1.0,0.0,0.0,neutral,42
binary__Has_Sentiment_History,1.0,0.0,0.0,neutral,43
