XAI_Example_Type,Ticker,Accession,Event_Session,Test_Year,Target_Tradable_Abnormal_1D,XAI_Prediction,XAI_Probability
true_positive,AAPL,0001140361-25-044561,2025-12-08,2025,1,1,0.6528114
true_negative,INTC,0000050863-25-000155,2025-09-19,2025,0,0,0.28488344
false_positive,MSFT,0001193125-25-154103,2025-07-02,2025,0,1,0.6871004
false_negative,AMD,0000002488-25-000009,2025-02-05,2025,1,0,0.27356607
