Test_Year,Feature,Feature_Value,ALE,Count
2023,Stock_vs_QQQ_1D,-0.0791210973592908,-0.05937078444931345,0
2023,Stock_vs_QQQ_1D,-0.0199191520806614,0.049086362389493786,12
2023,Stock_vs_QQQ_1D,-0.0104185234384235,0.049086362389493786,12
2023,Stock_vs_QQQ_1D,-0.0057004734394212,0.03461181731317551,12
2023,Stock_vs_QQQ_1D,-0.000730606718237,0.023070674468457154,11
2023,Stock_vs_QQQ_1D,0.0010490118003105,0.018389249585433344,12
2023,Stock_vs_QQQ_1D,0.0040334468889554,0.012081019153040835,12
2023,Stock_vs_QQQ_1D,0.0070489432377788,-0.0018977197766517975,11
2023,Stock_vs_QQQ_1D,0.0134409083715502,-0.052532402349994,12
2023,Stock_vs_QQQ_1D,0.0215070708936611,-0.06976736758987492,12
2023,Stock_vs_QQQ_1D,0.0440101855355003,-0.059229724119332014,12
2023,QQQ_Log_Return_1D,-0.0247803610330896,0.08268361519531825,0
2023,QQQ_Log_Return_1D,-0.0141430746778516,0.08972626850807,12
2023,QQQ_Log_Return_1D,-0.0087597248778134,0.07198129445966625,12
2023,QQQ_Log_Return_1D,-0.0033320030631799,-0.030222299122394908,12
2023,QQQ_Log_Return_1D,-0.0016040253052834,-0.03592139603439805,11
2023,QQQ_Log_Return_1D,0.00113179691622,-0.044279314875256354,12
2023,QQQ_Log_Return_1D,0.0044466464685625,-0.04153273575745314,12
2023,QQQ_Log_Return_1D,0.0071098367424012,-0.043874192597747386,11
2023,QQQ_Log_Return_1D,0.0118452756412721,-0.013980436308976635,12
2023,QQQ_Log_Return_1D,0.0172078235881029,0.0011532095817255311,12
2023,QQQ_Log_Return_1D,0.0352608127852435,-0.001413629527788146,12
2023,Relative_Volume_20D,0.4802465137716649,-0.0011824466191669315,0
2023,Relative_Volume_20D,0.7079101831152949,0.03322727784001287,12
2023,Relative_Volume_20D,0.857685010749278,0.027450938577343792,12
2023,Relative_Volume_20D,0.9792466932928612,0.03114247277305579,12
2023,Relative_Volume_20D,1.0426820617322554,0.03038885522898329,11
2023,Relative_Volume_20D,1.1811519338800285,0.029556090301227834,12
2023,Relative_Volume_20D,1.404933455409153,0.02983928302370617,12
2023,Relative_Volume_20D,1.6097352483797125,-0.027629707752833715,11
2023,Relative_Volume_20D,1.8338460756308128,-0.051856126219346946,12
2023,Relative_Volume_20D,2.0707008714060824,-0.06703074356232326,12
2023,Relative_Volume_20D,3.465778399154209,-0.0636824918610754,12
2024,Stock_vs_QQQ_1D,-0.0471564059974128,-0.043987860423946375,0
2024,Stock_vs_QQQ_1D,-0.0213456089589477,0.06370983073184144,13
2024,Stock_vs_QQQ_1D,-0.01204238349736,0.02310379380117302,12
2024,Stock_vs_QQQ_1D,-0.0089574762797676,0.02695216233089253,12
2024,Stock_vs_QQQ_1D,-0.0062081847003467,0.020059756119352033,12
2024,Stock_vs_QQQ_1D,-0.0032253873973094,0.017194950496193753,12
2024,Stock_vs_QQQ_1D,0.0006890364972377,0.017194950496193753,12
2024,Stock_vs_QQQ_1D,0.004408558278801,0.02029928512336377,12
2024,Stock_vs_QQQ_1D,0.00883417170251,-0.03450526766690684,12
2024,Stock_vs_QQQ_1D,0.0168254617303996,-0.08797443715074305,12
