XAI_Example_Type,Ticker,Accession,Event_Session,Test_Year,Target_Tradable_Abnormal_1D,XAI_Prediction,XAI_Probability
true_positive,AAPL,0001140361-24-038601,2024-08-27,2024,1,1,0.8888069355309876
true_negative,QCOM,0000804328-24-000074,2024-11-07,2024,0,0,0.0922987900096724
false_positive,AMD,0001193125-26-226746,2026-05-18,2026,0,1,0.8558059321675309
false_negative,GOOGL,0001652044-24-000076,2024-07-24,2024,1,0,0.0920181230573532
